Industry_x,Occupation,16+,16 to 19 ,20 to 24 ,25 to 34 ,35 to 44 ,45 to 54 ,55 to 64 ,65 years,Median,Industry_y,Total Number of workers,Total Median weekly earnings,"Number of workers, Men","Median weekly earnings, Men","Number of workers, Women","Median weekly earnings, women"
Entertainmnet,Dancersandchoreographers,21,1,7,6,5,0,1,1,-,Entertainment,9,0,4,0,5,0
Entertainmnet,"Musicians,singers,andrelatedworkers",188,6,14,48,36,28,28,28,43.2,Entertainment,41,0,29,0,12,0
Entertainmnet,"Entertainersandperformers,sportsandrelatedworkers,allother",67,2,8,15,16,13,7,5,40.5,Entertainment,24,0,10,0,13,0
Entertainmnet,Announcers,50,0,5,17,10,8,5,5,40.9,Entertainment,24,0,18,0,7,0
Healthcare,Healthcarepractitionersandtechnicaloccupations,9141,38,526,2394,2084,1986,1591,523,42.7,Healthcare,6970,1124,1724,1341,5246,1068
Healthcare,Chiropractors,51,0,0,7,10,12,15,7,51.5,Healthcare,11,0,9,0,2,0
Healthcare,Dentists,159,0,0,31,26,32,45,26,51,Healthcare,41,0,16,0,25,0
Healthcare,Dietitiansandnutritionists,114,0,5,30,21,26,24,9,44.3,Healthcare,88,991,8,0,80,996
Healthcare,Optometrists,51,0,0,9,7,23,8,5,49.9,Healthcare,19,0,6,0,13,0
Healthcare,Pharmacists,342,0,19,119,66,55,58,24,41,Healthcare,254,1923,107,2228,147,1834
Healthcare,Physiciansandsurgeons,1079,0,4,254,249,247,203,121,46.4,Healthcare,815,1918,463,2277,352,1759
Healthcare,Physicianassistants,116,0,2,54,26,19,11,4,37.6,Healthcare,97,1747,31,0,66,1640
Healthcare,Podiatrists,12,0,1,0,5,3,1,2,-,Healthcare,7,0,3,0,4,0
Healthcare,Audiologists,15,0,1,5,2,5,2,0,-,Healthcare,13,0,1,0,12,0
Healthcare,Occupationaltherapists,122,0,3,34,41,27,16,2,40.9,Healthcare,74,1301,12,0,62,1273
Healthcare,Physicaltherapists,258,1,11,84,70,54,26,12,40.4,Healthcare,182,1317,64,1341,118,1297
Healthcare,Radiationtherapists,10,0,0,5,4,0,1,0,-,Healthcare,11,0,3,0,8,0
Healthcare,Recreationaltherapists,7,0,0,1,1,3,1,0,-,Healthcare,5,0,1,0,3,0
Healthcare,Respiratorytherapists,100,0,2,28,25,19,17,10,43.4,Healthcare,83,961,27,0,56,904
Healthcare,Speech-languagepathologists,141,1,5,43,45,23,16,8,40.1,Healthcare,106,1213,4,0,102,1214
Healthcare,Exercisephysiologists,5,0,0,3,1,1,0,0,-,Healthcare,5,0,1,0,3,0
