Player,Age,2017-18
Blake Griffin,29,"$29,512,900 "
Andre Drummond,24,"$23,775,506 "
Reggie Jackson,27,"$16,000,000 "
Jon Leuer,28,"$10,497,319 "
Langston Galloway,26,"$6,666,667 "
Ish Smith,29,"$6,000,000 "
Anthony Tolliver,32,"$3,290,000 "
Stanley Johnson,21,"$3,097,800 "
James Ennis,27,"$3,028,410 "
Luke Kennard,21,"$2,759,280 "
Reggie Bullock,27,"$2,500,000 "
Jameer Nelson,36,"$2,262,871 "
Henry Ellenson,21,"$1,780,800 "
Eric Moreland,26,"$1,739,333 "
Dwight Buycks,29,"$748,160 "
Josh Smith,32,"$5,400,000 "
Michael Gbinije,25,"$500,000 "
Aaron Gray,33,"$452,059 "
Luis Montero,24,"$50,000 "
Beno Udrih,35,"$25,000 "
Stephen Curry,30,"$34,682,550 "
Kevin Durant,29,"$25,000,000 "
Klay Thompson,28,"$17,826,150 "
Draymond Green,28,"$16,400,000 "
Andre Iguodala,34,"$14,814,815 "
Shaun Livingston,32,"$7,692,308 "
Nick Young,32,"$5,192,000 "
Zaza Pachulia,34,"$3,477,600 "
David West,37,"$2,328,652 "
JaVale McGee,30,"$2,116,955 "
Omri Casspi,29,"$2,106,470 "
Kevon Looney,22,"$1,471,382 "
Patrick McCaw,22,"$1,312,611 "
Damian Jones,22,"$1,312,611 "
Jordan Bell,23,"$815,615 "
Jason Thompson,31,"$945,126 "
James Harden,28,"$28,299,399 "
Chris Paul,32,"$24,599,495 "
Ryan Anderson,29,"$19,578,455 "
Eric Gordon,29,"$12,943,020 "
P.J. Tucker,32,"$7,590,035 "
Trevor Ariza,32,"$7,420,912 "
Nene Hilario,35,"$3,477,600 "
Tarik Black,26,"$3,290,000 "
Clint Capela,23,"$2,334,520 "
Luc Mbah a Moute,31,"$2,116,955 "
Chinanu Onuaku,21,"$1,312,611 "
Gerald Green,32,"$947,248 "
Zhou Qi,22,"$815,615 "
Joe Johnson,36,"$749,905 "
Bobby Brown,33,"$1,524,305 "
Troy Williams,23,"$1,471,382 "
