,,Salary,Salary,Salary,Salary,Salary,Salary,,
James Webb,24,TBD,,,,,,Two-Way Contract,TBD
Milton Doyle,24,TBD,,,,,,Two-Way Contract,TBD
Jacob Wiley,23,TBD,,,,,,Two-Way Contract,"$50,000 "
Deron Williams,33,"$5,500,000 ","$5,500,000 ","$5,500,000 ",,,,,"$16,500,000 "
Sean Kilpatrick,28,"$1,524,305 ",,,,,,,"$1,524,305 "
Yakuba Ouattara,26,"$50,000 ",,,,,,,"$50,000 "
Dwight Howard,32,"$23,500,000 ","$23,819,725 ",,,,,Cap Space,"$47,319,725 "
Nicolas Batum,29,"$22,434,783 ","$24,000,000 ","$25,565,217 ","$27,130,434 ",,,Cap Space,"$72,000,000 "
Marvin Williams,31,"$13,168,750 ","$14,087,500 ","$15,006,250 ",,,,Cap Space,"$27,256,250 "
Michael Kidd-Gilchrist,24,"$13,000,000 ","$13,000,000 ","$13,000,000 ",,,,1st Round Pick,"$26,000,000 "
Cody Zeller,25,"$12,584,270 ","$13,528,090 ","$14,471,910 ","$15,415,730 ",,,1st Round Pick,"$56,000,000 "
Kemba Walker,27,"$12,000,000 ","$12,000,000 ",,,,,1st Round Pick,"$24,000,000 "
Jeremy Lamb,25,"$7,000,000 ","$7,488,372 ",,,,,Rookie scale extension,"$14,488,372 "
Malik Monk,20,"$2,904,480 ","$3,447,480 ","$4,028,400 ","$5,345,687 ",,,1st Round Pick,"$6,351,960 "
Frank Kaminsky,24,"$2,847,600 ","$3,627,842 ",,,,,1st round pick,"$6,475,442 "
Michael Carter-Williams,26,"$2,700,000 ",,,,,,Bi-annual Exception,"$2,700,000 "
Julyan Stone,29,"$1,524,305 ","$1,656,092 ",,,,,Minimum Salary,"$1,524,305 "
Willy Hernangomez,23,"$1,435,750 ","$1,544,951 ","$1,701,735 ",,,,Cap Space,"$2,980,701 "
Treveon Graham,24,"$1,312,611 ",,,,,,Minimum Salary,"$1,312,611 "
Dwayne Bacon,22,"$815,615 ","$1,378,242 ","$1,618,520 ",,,,MLE,"$2,193,857 "
Marcus Paige,24,TBD,,,,,,Two-Way Contract,"$50,000 "
Mangok Mathiang,25,TBD,,,,,,Two-Way Contract,"$50,000 "
Robin Lopez,29,"$13,788,500 ","$14,357,750 ",,,,,Cap Space,"$28,146,250 "
Omer Asik,31,"$10,595,505 ","$11,286,516 ","$11,977,527 ",,,,Bird Rights,"$24,882,021 "
Cristiano Felicio,25,"$7,843,500 ","$8,470,980 ","$8,156,500 ","$7,529,020 ",,,Cap space,"$32,000,000 "
Justin Holiday,28,"$4,615,385 ","$4,384,616 ",,,,,MLE,"$9,000,001 "
