,,Salary,Salary,Salary,Salary,Salary,Salary,,
Josh Hart,23,"$1,394,520 ","$1,655,160 ","$1,934,160 ","$3,491,159 ",,,1st Round Pick,"$3,049,680 "
Ivica Zubac,21,"$1,312,611 ","$1,544,951 ",,,,,Cap Space,"$1,312,611 "
Thomas Bryant,20,"$815,615 ","$1,378,242 ",,,,,Minimum Salary,"$815,615 "
Gary Payton,25,TBD,,,,,,Two-Way Contract,TBD
Travis Wear,27,,,,,,,,
Corey Brewer,32,"$7,579,366 ",,,,,,,"$7,579,366 "
Andrew Bogut,33,"$2,328,652 ",,,,,,,
Stephen Zimmerman,21,"$1,312,611 ",,,,,,,
Travis Wear,27,"$148,318 ",,,,,,,
Derrick Williams,26,"$104,059 ",,,,,,,
Vander Blue,25,"$50,000 ",,,,,,,"$50,000 "
Briante Weber,25,"$50,000 ",,,,,,,"$50,000 "
V.J. Beachem,23,"$50,000 ",,,,,,,"$50,000 "
Nigel Hayes,23,"$46,080 ",,,,,,,"$46,080 "
Vander Blue,25,,,,,,,,
Mike Conley,30,"$28,530,608 ","$30,521,115 ","$32,511,623 ","$34,504,132 ",,,Cap Space,"$113,989,729 "
Chandler Parsons,29,"$23,112,004 ","$24,107,258 ","$25,102,511 ",,,,Cap Space,"$72,321,773 "
Marc Gasol,33,"$22,642,350 ","$24,119,025 ","$25,595,700 ",,,,Bird Rights,"$46,761,375 "
JaMychal Green,27,"$8,533,333 ","$7,866,667 ",,,,,Bird Rights,"$16,400,000 "
Ben McLemore,25,"$5,200,000 ","$5,460,000 ",,,,,MLE,"$10,660,000 "
Tyreke Evans,28,"$3,290,000 ",,,,,,Bi-annual Exception,"$3,290,000 "
Mario Chalmers,31,"$2,106,407 ",,,,,,Minimum Salary,"$2,106,407 "
Jarell Martin,23,"$1,471,382 ","$2,416,222 ",,,,,1st Round pick,"$3,887,604 "
Andrew Harrison,23,"$1,312,611 ","$1,544,951 ",,,,,Cap Space,"$1,312,611 "
Wayne Selden,23,"$1,312,611 ","$1,544,951 ",,,,,,"$2,085,087 "
Deyonta Davis,21,"$1,312,611 ","$1,544,951 ",,,,,Cap Space,"$2,857,562 "
Ivan Rabb,21,"$950,000 ","$1,378,242 ","$1,618,520 ",,,,MLE,"$2,328,242 "
Dillon Brooks,22,"$815,615 ","$1,378,242 ","$1,618,520 ",,,,MLE,"$2,193,857 "
MarShon Brooks,29,"$86,119 ",,,,,,10-Day Contract,
Marquis Teague,25,"$83,129 ",,,,,,10-Day Contract,
Kobi Simmons,20,TBD,,,,,,Two-Way Contract,"$50,000 "
Myke Henry,25,TBD,,,,,,Two-Way Contract,TBD
Brandan Wright,30,"$5,179,760 ",,,,,,,"$5,179,760 "
Wade Baldwin,22,"$1,874,400 ",,,,,,,"$1,874,400 "
Brice Johnson,23,"$1,331,160 ",,,,,,,"$1,331,160 "
Rade Zagorac,22,"$950,000 ","$1,378,242 ",,,,,,"$2,328,242 "
Briante Weber,25,"$83,129 ",,,,,,,
Vince Hunter,23,"$50,000 ",,,,,,,"$50,000 "
Xavier Rathan-Mayes,23,"$46,080 ",,,,,,,
Hassan Whiteside,28,"$23,775,506 ","$25,434,263 ","$27,093,018 ",,,,Cap Space,"$49,209,769 "
Goran Dragic,31,"$17,000,450 ","$18,109,175 ","$19,217,900 ",,,,Bird Rights,"$35,109,625 "
James Johnson,31,"$13,954,000 ","$14,651,700 ","$15,349,400 ",,,,Cap space,"$43,955,100 "
Dion Waiters,26,"$11,000,000 ","$11,550,000 ","$12,100,000 ","$12,650,000 ",,,Cap space,"$47,300,000 "
Kelly Olynyk,26,"$10,607,169 ","$11,137,527 ","$11,667,885 ","$12,198,243 ",,,Cap space,"$33,412,581 "
Wayne Ellington,30,"$6,270,000 ",,,,,,Cap Space,"$6,270,000 "
Tyler Johnson,25,"$5,881,260 ","$19,245,370 ","$19,245,370 ",,,,Cap Space,"$25,126,630 "
Justise Winslow,22,"$2,705,040 ","$3,448,926 ",,,,,1st round pick,"$6,153,966 "
Bam Adebayo,20,"$2,490,360 ","$2,955,840 ","$3,454,080 ","$5,115,492 ",,,1st Round Pick,"$5,446,200 "
Dwyane Wade,36,"$2,328,652 ",,,,,,Minimum Salary,"$2,328,652 "
Udonis Haslem,37,"$2,328,652 ",,,,,,Minimum Salary,"$2,328,652 "
Luke Babbitt,28,"$1,974,159 ",,,,,,Minimum Salary,"$987,080 "
Josh Richardson,24,"$1,471,382 ","$9,300,000 ","$10,100,000 ","$10,800,000 ","$11,600,000 ",,Minimum Salary,"$31,671,382 "
Jordan Mickey,23,"$1,471,382 ","$1,600,520 ",,,,,Minimum Salary,"$1,471,382 "
Rodney McGruder,26,"$1,312,611 ","$1,544,951 ",,,,,Minimum Salary,"$1,312,611 "
Derrick Walton,22,TBD,,,,,,Two-Way Contract,"$50,000 "
Derrick Jones,21,TBD,,,,,,Two-Way Contract,TBD
Chris Bosh,34,"$25,289,390 ","$26,837,720 ",,,,,,"$52,127,110 "
A.J. Hammons,25,"$1,312,611 ","$1,544,951 ",,,,,,"$2,857,562 "
Matt Williams,24,"$50,000 ",,,,,,,"$50,000 "
Giannis Antetokounmpo,23,"$22,471,910 ","$24,157,303 ","$25,842,697 ","$27,528,090 ",,,1st Round Pick,"$100,000,000 "
Eric Bledsoe,28,"$14,500,000 ","$15,000,000 ",,,,,Bird Rights,"$29,500,000 "
Khris Middleton,26,"$14,100,000 ","$13,000,000 ","$13,000,000 ",,,,Bird Rights,"$27,100,000 "
John Henson,27,"$11,422,536 ","$10,577,466 ","$9,732,396 ",,,,1st Round Pick,"$31,732,398 "
Tony Snell,26,"$9,821,429 ","$10,607,143 ","$11,392,857 ","$12,178,571 ",,,Cap space,"$31,821,429 "
Matthew Dellavedova,27,"$9,607,500 ","$9,607,500 ","$9,607,500 ",,,,Cap Space,"$28,822,500 "
Jabari Parker,23,"$6,782,392 ",,,,,,1st Round Pick,"$6,782,392 "
Thon Maker,21,"$2,684,160 ","$2,799,720 ","$3,569,643 ",,,,1st Round pick,"$5,483,880 "
Jason Terry,40,"$2,328,652 ",,,,,,Minimum Salary,"$2,328,652 "
D.J. Wilson,22,"$2,135,040 ","$2,534,280 ","$2,961,120 ","$4,548,280 ",,,1st Round Pick,"$4,669,320 "
Tyler Zeller,28,"$1,709,538 ","$1,933,941 ",,,,,,"$1,709,538 "
Malcolm Brogdon,25,"$1,312,611 ","$1,544,951 ",,,,,Cap Space,"$1,312,611 "
Sterling Brown,23,"$815,615 ","$1,378,242 ","$1,618,520 ",,,,MLE,"$2,193,857 "
Brandon Jennings,28,"$238,020 ",,,,,,10-Day Contract,
Shabazz Muhammad,25,,,,,,,,
Xavier Munford,25,TBD,,,,,,Two-Way Contract,TBD
Marshall Plumlee,25,TBD,,,,,,Two-Way Contract,TBD
Mirza Teletovic,32,"$10,500,000 ","$10,500,000 ",,,,,,"$21,000,000 "
Spencer Hawes,29,"$6,021,175 ",,,,,,,"$6,021,175 "
Larry Sanders,29,"$1,865,547 ","$1,865,547 ","$1,865,547 ","$1,865,547 ","$1,865,547 ",,,"$9,327,735 "
DeAndre Liggins,30,"$1,577,230 ",,,,,,,
Sean Kilpatrick,28,"$789,725 ",,,,,,,"$789,725 "
Gary Payton,25,"$50,000 ",,,,,,,"$50,000 "
Jalen Moore,22,"$50,000 ",,,,,,,"$50,000 "
Joel Bolomboy,24,"$22,248 ",,,,,,,"$22,248 "
Jimmy Butler,28,"$19,301,070 ","$20,445,779 ","$19,841,627 ",,,,Bird Rights,"$39,746,849 "
Jeff Teague,29,"$19,000,000 ","$19,000,000 ","$19,000,000 ",,,,Cap space,"$38,000,000 "
Gorgui Dieng,28,"$14,112,360 ","$15,170,787 ","$16,229,213 ","$17,287,640 ",,,1st Round Pick,"$62,800,000 "
Taj Gibson,32,"$14,000,000 ","$14,000,000 ",,,,,Cap space,"$28,000,000 "
Andrew Wiggins,23,"$7,574,322 ","$25,250,000 ","$27,270,000 ","$29,290,000 ","$31,310,000 ","$33,330,000 ",1st Round Pick,"$154,024,322 "
Cole Aldrich,29,"$7,300,000 ","$6,956,021 ",,,,,Cap Space,"$9,356,021 "
Karl-Anthony Towns,22,"$6,216,840 ","$7,839,435 ",,,,,1st round pick,"$6,216,840 "
Jamal Crawford,38,"$4,328,000 ","$4,544,400 ",,,,,Room Exception,"$4,328,000 "
Nemanja Bjelica,29,"$3,949,999 ",,,,,,MLE,"$3,949,999 "
Justin Patton,20,"$2,247,480 ","$2,667,600 ","$3,117,240 ","$4,781,846 ",,,1st Round Pick,"$4,915,080 "
Aaron Brooks,33,"$2,116,955 ",,,,,,,"$2,116,955 "
Tyus Jones,21,"$1,471,382 ","$2,444,053 ",,,,,1st Round pick,"$3,915,435 "
Marcus Georges-Hunt,24,"$1,312,611 ",,,,,,Minimum Salary,"$1,312,611 "
Derrick Rose,29,,,,,,,,
Anthony Brown,25,TBD,,,,,,Two-Way Contract,"$50,000 "
Amile Jefferson,24,TBD,,,,,,Two-Way Contract,TBD
Nikola Pekovic,32,"$11,600,000 ",,,,,,,"$11,600,000 "
Shabazz Muhammad,25,"$1,577,230 ","$1,795,015 ",,,,,,"$1,577,230 "
Kevin Martin,35,"$1,360,305 ","$1,360,305 ",,,,,,"$2,720,610 "
Jrue Holiday,27,"$25,686,667 ","$26,131,111 ","$26,131,111 ","$26,131,111 ","$27,020,000 ",,Bird Rights,"$104,080,000 "
Anthony Davis,25,"$23,775,506 ","$25,434,263 ","$27,093,019 ","$28,751,775 ",,,1st Round Pick,"$76,302,788 "
DeMarcus Cousins,27,"$18,063,850 ",,,,,,1st Round Pick,"$18,063,850 "
Nikola Mirotic,27,"$12,500,000 ","$12,500,000 ",,,,,Cap space,"$25,000,000 "
Solomon Hill,27,"$12,236,535 ","$12,752,928 ","$13,258,781 ",,,,Cap Space,"$38,248,244 "
E'Twaun Moore,29,"$8,445,024 ","$8,808,685 ","$8,664,928 ",,,,Cap Space,"$25,918,637 "
Alexis Ajinca,29,"$4,961,798 ","$5,285,394 ",,,,,Early Bird Rights,"$10,247,192 "
Rajon Rondo,32,"$3,300,000 ",,,,,,MLE,"$3,300,000 "
Darius Miller,28,"$2,100,000 ","$2,205,000 ",,,,,MLE,"$2,100,000 "
Ian Clark,27,"$1,577,230 ",,,,,,Minimum Salary,"$1,577,230 "
Cheick Diallo,21,"$1,312,611 ","$1,544,951 ",,,,,Minimum Salary,"$1,812,611 "
Frank Jackson,19,"$815,615 ","$1,378,242 ","$1,618,520 ",,,,MLE,"$2,699,857 "
Charles Cooke,23,TBD,,,,,,Two-Way Contract,TBD
Emeka Okafor,35,,,,,,,,
DeAndre Liggins,30,,,,,,,,
Josh Smith,32,"$2,183,934 ",,,,,,,
Rashad Vaughn,21,"$1,889,040 ",,,,,,,"$1,889,040 "
Jordan Crawford,29,"$250,000 ",,,,,,,"$250,000 "
Emeka Okafor,35,"$239,204 ",,,,,,,"$239,204 "
DeAndre Liggins,30,"$172,238 ",,,,,,,"$172,238 "
Larry Drew,28,"$148,318 ",,,,,,,
Walt Lemon Jr.,25,"$92,160 ",,,,,,,
Quinn Cook,25,"$25,000 ",,,,,,,"$25,000 "
Axel Toupane,25,"$25,000 ",,,,,,,"$25,000 "
Mike James,27,,,,,,,,
Enes Kanter,25,"$20,566,802 ","$18,622,514 ",,,,,Bird Rights,"$20,566,802 "
Joakim Noah,33,"$17,765,000 ","$18,530,000 ","$19,295,000 ",,,,Cap Space,"$55,590,000 "
Tim Hardaway,26,"$16,500,000 ","$17,325,000 ","$18,150,000 ","$18,975,000 ",,,Cap space,"$51,975,000 "
Courtney Lee,32,"$11,747,890 ","$12,253,780 ","$12,759,670 ",,,,Cap Space,"$36,761,340 "
Lance Thomas,29,"$6,655,325 ","$7,119,650 ","$7,583,975 ",,,,Cap Space,"$13,774,975 "
Kristaps Porzingis,22,"$4,503,600 ","$5,697,054 ",,,,,1st round pick,"$10,200,654 "
Ron Baker,25,"$4,328,000 ","$4,544,400 ",,,,,Room Exception,"$4,328,000 "
Kyle O'Quinn,28,"$4,087,500 ","$4,256,250 ",,,,,Bird Rights,"$4,087,500 "
Frank Ntilikina,19,"$3,501,120 ","$4,155,720 ","$4,855,800 ","$6,176,578 ",,,1st Round Pick,"$7,656,840 "
Emmanuel Mudiay,22,"$3,381,480 ","$4,294,480 ",,,,,1st round pick,"$7,675,960 "
Jarrett Jack,34,"$2,328,652 ",,,,,,Minimum Salary,"$2,328,652 "
Michael Beasley,29,"$2,116,955 ",,,,,,Minimum Salary,"$2,116,955 "
Damyean Dotson,23,"$1,100,000 ","$1,378,242 ","$1,618,520 ",,,,Minimum Salary,"$2,478,242 "
Trey Burke,25,"$784,160 ","$1,795,015 ",,,,,Minimum Salary,"$784,160 "
Isaiah Hicks,23,TBD,,,,,,Two-Way Contract,"$49,153 "
Troy Williams,23,,,,,,,,
Luke Kornet,22,TBD,,,,,,Two-Way Contract,"$50,000 "
Mindaugas Kuzminskas,28,"$3,025,035 ",,,,,,,"$3,025,035 "
Ramon Sessions,31,"$2,328,652 ",,,,,,,"$2,328,652 "
Johnny O'Bryant,24,"$1,524,305 ",,,,,,,"$1,524,305 "
Chasson Randle,25,"$1,312,611 ",,,,,,,
Troy Williams,23,"$148,318 ",,,,,,,
Marshall Plumlee,25,"$100,000 ",,,,,,,"$100,000 "
Nigel Hayes,23,"$50,000 ",,,,,,,"$50,000 "
Russell Westbrook,29,"$28,530,608 ","$35,350,000 ","$38,178,000 ","$41,006,000 ","$43,848,000 ","$46,662,000 ",Bird Rights,"$186,912,608 "
Carmelo Anthony,33,"$26,243,760 ","$27,928,140 ",,,,,Bird Rights,"$26,243,760 "
Steven Adams,24,"$22,471,910 ","$24,157,303 ","$25,842,697 ","$27,528,090 ",,,1st Round Pick,"$100,000,000 "
Paul George,27,"$19,508,958 ","$20,703,384 ",,,,,1st Round Pick,"$19,508,958 "
Andre Roberson,26,"$9,259,259 ","$10,000,000 ","$10,740,741 ",,,,Bird Rights,"$30,000,000 "
Alex Abrines,24,"$5,725,000 ","$5,455,236 ",,,,,Cap Space,"$11,180,236 "
Patrick Patterson,29,"$5,192,000 ","$5,451,600 ","$5,711,200 ",,,,MLE,"$10,643,600 "
Kyle Singler,29,"$4,666,500 ","$4,996,000 ","$5,333,500 ",,,,Bird Rights,"$9,662,500 "
Nick Collison,37,"$2,328,652 ",,,,,,Minimum Salary,"$2,328,652 "
Raymond Felton,33,"$2,328,652 ",,,,,,Minimum Salary,"$2,328,652 "
Terrance Ferguson,19,"$1,785,000 ","$2,118,840 ","$2,475,840 ","$3,944,013 ",,,1st Round Pick,"$3,903,840 "
Jerami Grant,24,"$1,524,305 ",,,,,,Draft Pick,"$1,524,305 "
Josh Huestis,26,"$1,471,382 ",,,,,,,"$1,471,382 "
Dakari Johnson,22,"$815,615 ","$1,378,242 ",,,,,,"$2,193,857 "
Daniel Hamilton,22,TBD,,,,,,Two-Way Contract,"$50,000 "
Corey Brewer,32,,,,,,,,
PJ Dozier,21,TBD,,,,,,Two-Way Contract,"$50,000 "
Ronnie Price,34,"$2,442,455 ",,,,,,,"$2,442,455 "
Evan Fournier,25,"$17,000,000 ","$17,000,000 ","$17,000,000 ","$17,000,000 ",,,Cap Space,"$51,000,000 "
Bismack Biyombo,25,"$17,000,000 ","$17,000,000 ","$17,000,000 ",,,,Cap Space,"$34,000,000 "
Nikola Vucevic,27,"$12,250,000 ","$12,750,000 ",,,,,Bird Rights,"$25,000,000 "
Terrence Ross,27,"$10,500,000 ","$10,500,000 ",,,,,Rookie scale extension,"$21,000,000 "
D.J. Augustin,30,"$7,250,000 ","$7,250,000 ","$7,250,000 ",,,,Cap Space,"$21,750,000 "
Jonathon Simmons,28,"$6,300,000 ","$6,000,000 ","$5,700,000 ",,,,Cap space,"$13,300,000 "
Shelvin Mack,27,"$6,000,000 ","$6,000,000 ",,,,,Cap space,"$6,000,000 "
Aaron Gordon,22,"$5,504,420 ",,,,,,1st Round Pick,"$5,504,420 "
Jonathan Isaac,20,"$4,186,320 ","$4,969,080 ","$5,806,440 ","$7,362,566 ",,,1st Round Pick,"$9,155,400 "
Mario Hezonja,23,"$4,078,320 ",,,,,,1st round pick,"$4,078,320 "
Arron Afflalo,32,"$2,328,652 ",,,,,,Minimum Salary,"$2,328,652 "
Marreese Speights,30,"$2,116,955 ",,,,,,Minimum Salary,"$2,116,955 "
Wesley Iwundu,23,"$1,050,000 ","$1,378,242 ","$1,618,520 ",,,,,"$2,428,242 "
Khem Birch,25,"$815,615 ","$1,378,242 ",,,,,Minimum Salary,"$815,615 "
Rodney Purvis,24,,,,,,,,
Jamel Artis,25,TBD,,,,,,Two-Way Contract,"$50,000 "
C.J. Watson,33,"$333,334 ","$333,333 ","$333,333 ",,,,,"$1,000,000 "
Rashad Vaughn,21,"$166,258 ",,,,,,,
Rodney Purvis,24,"$92,160 ",,,,,,,
Adreian Payne,27,,,,,,,,"$50,000 "
J.J. Redick,33,"$23,000,000 ",,,,,,Cap space,"$23,000,000 "
Robert Covington,27,"$16,698,103 ","$10,464,092 ","$11,301,219 ","$12,138,345 ","$12,975,471 ",,Cap Space,"$63,577,230 "
Amir Johnson,30,"$11,000,000 ",,,,,,Cap space,"$11,000,000 "
Jerryd Bayless,29,"$9,000,000 ","$8,575,916 ",,,,,Cap Space,"$17,575,916 "
Markelle Fultz,19,"$7,026,240 ","$8,339,880 ","$9,745,200 ","$12,288,697 ",,,1st Round Pick,"$15,366,120 "
Ben Simmons,21,"$6,168,840 ","$6,434,520 ","$8,113,930 ",,,,1st Round pick,"$12,603,360 "
Joel Embiid,24,"$6,100,266 ","$25,250,000 ","$27,270,000 ","$29,290,000 ","$31,310,000 ","$33,330,000 ",1st Round Pick,"$6,100,266 "
Dario Saric,23,"$2,422,560 ","$2,526,840 ","$3,481,986 ",,,,1st Round pick,"$4,949,400 "
Justin Anderson,24,"$1,579,440 ","$2,516,048 ",,,,,1st Round pick,"$4,095,488 "
T.J. McConnell,26,"$1,471,382 ","$1,600,520 ",,,,,Minimum Salary,"$1,471,382 "
Richaun Holmes,24,"$1,471,382 ","$1,600,520 ",,,,,Cap Space,"$1,471,382 "
Furkan Korkmaz,20,"$1,465,920 ","$1,740,000 ","$2,033,160 ","$3,665,787 ",,,1st Round Pick,"$3,205,920 "
Timothe Luwawu-Cabarrot,22,"$1,386,600 ","$1,544,951 ","$2,529,684 ",,,,1st Round pick,"$2,931,551 "
Marco Belinelli,32,"$776,217 ",,,,,,Minimum Salary,
Ersan Ilyasova,30,"$502,328 ",,,,,,Minimum Salary,
Demetrius Jackson,23,TBD,,,,,,Two-Way Contract,TBD
Trevor Booker,30,"$9,125,000 ",,,,,,,"$9,125,000 "
Gerald Henderson,30,"$1,000,000 ",,,,,,,"$1,000,000 "
Tibor Pleiss,28,"$500,000 ",,,,,,,"$500,000 "
Jacob Pullen,28,"$50,000 ",,,,,,,"$50,000 "
James Michael McAdoo,25,"$50,000 ",,,,,,,"$50,000 "
James Young,22,,,,,,,,
Brandon Knight,26,"$13,618,750 ","$14,631,250 ","$15,643,750 ",,,,,"$43,893,750 "
Tyson Chandler,35,"$13,000,000 ","$13,585,000 ",,,,,Cap Space,"$26,585,000 "
Jared Dudley,32,"$10,000,000 ","$9,530,000 ",,,,,Cap Space,"$19,530,000 "
Alan Williams,25,"$6,000,000 ","$5,520,000 ","$5,520,000 ",,,,Cap space,"$6,000,000 "
Josh Jackson,21,"$5,090,040 ","$6,041,520 ","$7,059,480 ","$8,930,242 ",,,1st Round Pick,"$11,131,560 "
Dragan Bender,20,"$4,468,800 ","$4,661,280 ","$5,896,519 ",,,,1st Round pick,"$9,130,080 "
Alex Len,24,"$4,187,599 ",,,,,,1st Round Pick,"$4,187,599 "
Troy Daniels,26,"$3,408,520 ","$3,258,540 ",,,,,Cap Space,"$6,667,060 "
Elfrid Payton,24,"$3,332,340 ",,,,,,1st Round Pick,"$3,332,340 "
T.J. Warren,24,"$3,152,931 ","$11,750,000 ","$10,810,000 ","$11,750,000 ","$12,690,000 ",,1st Round Pick,"$50,152,931 "
Marquese Chriss,20,"$3,073,800 ","$3,206,160 ","$4,078,236 ",,,,1st Rd pick,"$6,279,960 "
Devin Booker,21,"$2,319,360 ","$3,314,365 ",,,,,1st round pick,"$5,633,725 "
Tyler Ulis,22,"$1,312,611 ","$1,544,951 ","$1,676,735 ",,,,Cap Space,"$1,312,611 "
Davon Reed,22,"$815,615 ","$1,378,242 ","$1,618,520 ",,,,Minimum Salary,"$1,504,736 "
Alec Peters,22,TBD,,,,,,Two-Way Contract,"$50,000 "
Shaquille Harrison,24,,,,,,,,
Danuel House,24,TBD,,,,,,Two-Way Contract,TBD
Greg Monroe,27,"$17,884,176 ",,,,,,,"$17,884,176 "
Derrick Jones,21,"$1,312,611 ",,,,,,,
Isaiah Canaan,26,"$1,069,308 ",,,,,,,"$1,069,308 "
Leandro Barbosa,35,"$500,000 ",,,,,,,"$500,000 "
Josh Gray,24,"$92,160 ",,,,,,,"$92,160 "
Shaquille Harrison,24,"$92,160 ",,,,,,,
Mike James,27,"$87,552 ",,,,,,,"$87,552 "
Damian Lillard,27,"$26,153,057 ","$27,977,689 ","$29,802,321 ","$31,626,953 ",,,1st Round Pick,"$115,560,020 "
C.J. McCollum,26,"$23,962,573 ","$25,759,766 ","$27,556,959 ","$29,354,152 ",,,1st Round Pick,"$106,633,450 "
Evan Turner,29,"$17,131,148 ","$17,868,852 ","$18,606,557 ",,,,Cap Space,"$53,606,557 "
Maurice Harkless,24,"$10,162,922 ","$10,837,079 ","$11,511,234 ",,,,Cap Space,"$32,511,235 "
Meyers Leonard,26,"$9,904,495 ","$10,595,506 ","$11,286,515 ",,,,Cap Space,"$31,786,516 "
Al-Farouq Aminu,27,"$7,319,035 ","$6,957,105 ",,,,,Cap Space,"$14,276,140 "
Ed Davis,28,"$6,352,531 ",,,,,,Cap Space,"$6,352,531 "
Zach Collins,20,"$3,057,240 ","$3,628,920 ","$4,240,200 ","$5,406,255 ",,,1st Round Pick,"$6,686,160 "
Jusuf Nurkic,23,"$2,947,305 ",,,,,,1st Round Pick,"$2,947,305 "
Shabazz Napier,26,"$2,361,360 ",,,,,,1st Round Pick,"$2,361,360 "
Pat Connaughton,25,"$1,471,382 ",,,,,,Minimum Salary,"$1,471,382 "
Caleb Swanigan,20,"$1,465,920 ","$1,740,000 ","$2,033,160 ","$3,665,787 ",,,1st Round Pick,"$3,205,920 "
Jake Layman,24,"$1,312,611 ","$1,544,951 ",,,,,Cap Space,"$1,312,611 "
Wade Baldwin,22,"$222,476 ",,,,,,Minimum Salary,
C.J. Wilcox,27,TBD,,,,,,Two-Way Contract,"$50,000 "
Georgios Papagiannis,20,,,,,,,,
Andrew Nicholson,28,"$2,844,429 ","$2,844,429 ","$2,844,429 ","$2,844,429 ","$2,844,429 ","$2,844,429 ",,"$19,911,003 "
Anderson Varejao,35,"$1,913,345 ","$1,913,345 ","$1,913,345 ","$1,913,345 ",,,,"$7,653,380 "
Festus Ezeli,28,"$333,334 ","$333,333 ","$333,333 ",,,,,"$1,000,000 "
Brandon Rush,32,"$119,602 ",,,,,,,
Georgios Papagiannis,20,"$74,159 ",,,,,,,
Wade Baldwin,22,,,,,,,,
Zach Randolph,36,"$12,307,692 ","$11,692,308 ",,,,,Cap space,"$24,000,000 "
Iman Shumpert,27,"$10,337,079 ","$11,011,234 ",,,,,Bird Rights,"$10,337,079 "
Bogdan Bogdanovic,25,"$9,470,614 ","$9,000,000 ","$8,529,386 ",,,,Cap space,"$27,000,000 "
Kosta Koufos,29,"$8,393,000 ","$8,739,500 ",,,,,Cap Space,"$8,393,000 "
Vince Carter,41,"$8,000,000 ",,,,,,Cap space,"$8,000,000 "
Garrett Temple,31,"$8,000,000 ","$8,000,000 ",,,,,Cap Space,"$8,000,000 "
De'Aaron Fox,20,"$4,609,200 ","$5,407,920 ","$6,392,760 ","$8,099,627 ",,,1st Round Pick,"$10,017,120 "
Willie Cauley-Stein,24,"$3,704,160 ","$4,696,875 ",,,,,1st round pick,"$8,401,035 "
Buddy Hield,24,"$3,675,480 ","$3,833,760 ","$4,861,208 ",,,,1st Round pick,"$7,509,240 "
Bruno Caboclo,22,"$2,451,225 ",,,,,,1st Round Pick,"$2,451,225 "
Justin Jackson,23,"$2,365,560 ","$2,807,880 ","$3,280,920 ","$5,029,650 ",,,1st Round Pick,"$5,173,440 "
Harry Giles,19,"$1,859,400 ","$2,207,040 ","$2,578,800 ","$3,976,510 ",,,1st Round Pick,"$4,066,440 "
Skal Labissiere,22,"$1,312,611 ","$1,544,951 ","$2,338,847 ",,,,1st Round pick,"$2,857,562 "
Frank Mason,23,"$1,184,385 ","$1,378,242 ","$1,618,520 ",,,,,"$2,562,627 "
Jack Cooley,26,TBD,,,,,,Two-Way Contract,"$50,000 "
JaKarr Sampson,25,TBD,,,,,,Two-Way Contract,"$50,000 "
Joe Johnson,36,"$9,505,000 ",,,,,,,"$9,505,000 "
Georgios Papagiannis,20,"$2,301,360 ","$2,400,480 ","$3,430,288 ",,,,,"$4,701,840 "
Matt Barnes,38,"$2,133,542 ","$2,133,542 ","$2,133,541 ",,,,,"$6,400,625 "
Anthony Tolliver,32,"$2,000,000 ",,,,,,,"$2,000,000 "
Arron Afflalo,32,"$1,500,000 ",,,,,,,"$1,500,000 "
Caron Butler,38,"$517,220 ","$517,220 ",,,,,,"$1,034,440 "
LaMarcus Aldridge,32,"$21,461,010 ","$22,347,015 ","$26,000,000 ",,,,Cap Space,"$69,808,025 "
Kawhi Leonard,26,"$18,868,625 ","$20,099,189 ","$21,329,752 ",,,,Bird Rights,"$38,967,814 "
Pau Gasol,37,"$16,000,000 ","$16,000,000 ","$16,000,000 ",,,,,"$38,700,000 "
Tony Parker,35,"$15,453,126 ",,,,,,Bird Rights,"$15,453,126 "
Patty Mills,29,"$10,714,286 ","$11,571,429 ","$12,428,571 ","$13,285,714 ",,,Bird Rights,"$48,000,000 "
Danny Green,30,"$10,000,000 ","$10,000,000 ",,,,,Bird Rights,"$10,000,000 "
Rudy Gay,31,"$8,406,000 ","$8,826,300 ",,,,,MLE,"$8,406,000 "
Manu Ginobili,40,"$2,500,000 ","$2,500,000 ",,,,,,"$5,000,000 "
Kyle Anderson,24,"$2,151,704 ",,,,,,1st Round Pick,"$2,151,704 "
Joffrey Lauvergne,26,"$1,524,305 ","$1,656,092 ",,,,,,"$1,524,305 "
Derrick White,23,"$1,404,600 ","$1,667,160 ","$1,948,080 ","$3,516,284 ",,,1st Round Pick,"$3,071,760 "
Bryn Forbes,24,"$1,312,611 ",,,,,,Minimum Salary,"$1,312,611 "
Davis Bertans,25,"$1,312,611 ",,,,,,Minimum Salary,"$1,312,611 "
Dejounte Murray,21,"$1,312,611 ","$1,544,951 ","$2,321,735 ",,,,1st Round pick,"$2,857,562 "
Brandon Paul,26,"$815,615 ","$1,378,242 ",,,,,Minimum Salary,"$815,615 "
Matt Costello,24,TBD,,,,,,Two-Way Contract,"$50,000 "
Darrun Hilliard,24,TBD,,,,,,Two-Way Contract,"$50,000 "
Tim Duncan,41,"$1,881,250 ","$1,881,250 ",,,,,,"$3,762,500 "
Livio Jean-Charles,24,"$1,035,200 ",,,,,,,"$1,035,200 "
Kyle Lowry,32,"$28,703,704 ","$31,000,000 ","$33,296,296 ",,,,Bird Rights,"$93,000,000 "
DeMar DeRozan,28,"$27,739,975 ","$27,739,975 ","$27,739,975 ","$27,739,975 ",,,Cap Space,"$83,219,925 "
Serge Ibaka,28,"$20,061,729 ","$21,666,667 ","$23,271,604 ",,,,Cap space,"$65,000,000 "
Jonas Valanciunas,25,"$15,460,675 ","$16,539,326 ","$17,617,977 ",,,,1st Round Pick,"$32,000,001 "
