,,Salary,Salary,Salary,Salary,Salary,Salary,,
Kemba Walker\walkeke02,27,$12000000,$12000000,,,,,1st Round Pick,$24000000
Jeremy Lamb\lambje01,25,$7000000,$7488372,,,,,Rookie scale extension,$14488372
Malik Monk\monkma01,20,$2904480,$3447480,$4028400,$5345687,,,1st Round Pick,$6351960
Frank Kaminsky\kaminfr01,24,$2847600,$3627842,,,,,1st round pick,$6475442
Michael Carter-Williams\cartemi01,26,$2700000,,,,,,Bi-annual Exception,$2700000
Julyan Stone\stoneju01,29,$1524305,$1656092,,,,,Minimum Salary,$1524305
Willy Hernangomez\hernawi01,23,$1435750,$1544951,$1701735,,,,Cap Space,$2980701
Treveon Graham\grahatr01,24,$1312611,,,,,,Minimum Salary,$1312611
Dwayne Bacon\bacondw01,22,$815615,$1378242,$1618520,,,,MLE,$2193857
Marcus Paige\paigema01,24,TBD,,,,,,Two-Way Contract,$50000
Mangok Mathiang\mathima01,25,TBD,,,,,,Two-Way Contract,$50000
Robin Lopez\lopezro01,29,$13788500,$14357750,,,,,Cap Space,$28146250
Omer Asik\asikom01,31,$10595505,$11286516,$11977527,,,,Bird Rights,$24882021
Cristiano Felicio\feliccr01,25,$7843500,$8470980,$8156500,$7529020,,,Cap space,$32000000
Justin Holiday\holidju01,28,$4615385,$4384616,,,,,MLE,$9000001
Kris Dunn\dunnkr01,24,$4046760,$4221000,$5348007,,,,1st Round pick,$8267760
Lauri Markkanen\markkla01,20,$3821640,$4536120,$5300400,$6731508,,,1st Round Pick,$8357760
Noah Vonleh\vonleno01,22,$3505233,,,,,,1st Round Pick,$3505233
Zach LaVine\lavinza01,23,$3202217,,,,,,1st Round Pick,$3202217
Cameron Payne\payneca01,23,$2203440,$3263295,,,,,1st round pick,$5466735
Denzel Valentine\valende01,24,$2186400,$2280600,$3377569,,,,1st Round pick,$4467000
Jerian Grant\grantje02,25,$1713840,$2639314,,,,,1st Round pick,$4353154
Bobby Portis\portibo01,23,$1516320,$2494346,,,,,1st Round pick,$4010666
Paul Zipser\zipsepa01,24,$1312611,$1544951,$1676735,,,,Cap Space,$1312611
David Nwaba\nwabada01,25,$1312611,,,,,,Minimum Salary,$1312611
Antonio Blakeney\blakean01,21,TBD,,,,,,Two-Way Contract,$50000
Sean Kilpatrick\kilpase01,28,,,,,,,Mid-Level Exception,
Ryan Arcidiacono\arcidry01,24,TBD,,,,,,Two-Way Contract,$50000
Dwyane Wade\wadedw01,36,$15550000,,,,,,,$15550000
Quincy Pondexter\pondequ01,30,$3853931,,,,,,,$3853931
Rajon Rondo\rondora01,32,$3000000,,,,,,,$3000000
Tony Allen\allento01,36,$2116955,,,,,,,$2116955
Willie Reed\reedwi02,27,$1577230,,,,,,,$1577230
Kay Felder\feldeka01,23,$1312611,$1544951,,,,,,$456529
Isaiah Canaan\canaais01,26,$200000,,,,,,,$200000
Jarell Eddie\eddieja01,26,$83129,,,,,,,
Diamond Stone\stonedi01,21,$50000,,,,,,,$50000
Jarell Eddie\eddieja01,26,$17224,,,,,,,$17224
C.J. Fair\faircj02,26,,,,,,,,
Jaylen Johnson\johnsja04,21,,,,,,,,
LeBron James\jamesle01,33,$33285709,$35607968,,,,,Early Bird,$33285709
Kevin Love\loveke01,29,$22642350,$24119025,$25595700,,,,Bird Rights,$46761375
George Hill\hillge01,31,$20000000,$19000000,$18000000,,,,Cap space,$40000000
Tristan Thompson\thomptr01,27,$16400000,$17469565,$18539130,,,,Bird Rights,$52408695
J.R. Smith\smithjr01,32,$13760000,$14720000,$15680000,,,,Bird Rights,$32350000
Jordan Clarkson\clarkjo01,25,$11562500,$12500000,$13437500,,,,Cap Space,$37500000
Kyle Korver\korveky01,37,$7000000,$7560000,$7500000,,,,Bird Rights,$18000000
Cedi Osman\osmande01,22,$2642857,$2775000,$2907143,,,,MLE,$8325000
Rodney Hood\hoodro01,25,$2386864,,,,,,1st Round Pick,$2386864
Jose Calderon\caldejo01,36,$2328652,,,,,,Minimum Salary,$2328652
Jeff Green\greenje02,31,$2116955,,,,,,Minimum Salary,$2116955
Ante Zizic\zizican01,21,$1645200,$1952760,$2281800,$3872215,,,1st Round Pick,$3597960
Larry Nance\nancela02,25,$1471382,$2272391,,,,,1st Round pick,$3743773
London Perrantes\perralo01,23,TBD,,,,,,Two-Way Contract,$74718
John Holland\hollajo02,29,TBD,,,,,,Two-Way Contract,$50000
Okaro White\whiteok01,25,$74159,,,,,,,
Marcus Thornton\thornma02,25,$46080,,,,,,,
Harrison Barnes\barneha02,25,$23112004,$24107258,$25102512,,,,Cap Space,$47219262
Wesley Matthews\matthwe02,31,$17884176,$18622514,,,,,Cap Space,$17884176
Dwight Powell\poweldw01,26,$9003125,$9631250,$10259375,,,,Cap Space,$18634375
Dirk Nowitzki\nowitdi01,39,$5000000,$5000000,,,,,Cap space,$5000000
Nerlens Noel\noelne01,23,$4187599,,,,,,1st Round Pick,$4187599
J.J. Barea\bareajo01,33,$3903900,$3710850,,,,,Cap Space,$7614750
Doug McDermott\mcderdo01,26,$3294994,,,,,,1st Round Pick,$3294994
Dennis Smith\smithde03,20,$3218280,$3819960,$4463640,$5686677,,,1st Round Pick,$7038240
Seth Curry\curryse01,27,$3028410,,,,,,Room exception,$3028410
Salah Mejri\mejrisa01,31,$1471382,,,,,,Minimum Salary,$1471382
Yogi Ferrell\ferreyo01,24,$1312611,,,,,,Minimum Salary,$1312611
Dorian Finney-Smith\finnedo01,24,$1312611,$1544951,,,,,Minimum Salary,$1312611
Maxi Kleber\klebima01,26,$815615,$1378242,,,,,Minimum Salary,$815615
Aaron Harrison\harriaa01,23,$83129,,,,,,10-Day Contract,
Jalen Jones\jonesja04,24,TBD,,,,,,Two-Way Contract,TBD
Johnathan Motley\motlejo01,22,TBD,,,,,,Two-Way Contract,$50000
Kyle Collinsworth\colliky01,26,,,,,,,Minimum Salary,
Josh McRoberts\mcrobjo01,31,$6021175,,,,,,,$6021175
Jeff Withey\witheje01,28,$1577320,$1795015,,,,,,$350000
Gal Mekel\mekelga01,30,$315760,,,,,,,$315760
Kyle Collinsworth\colliky01,26,$92160,,,,,,,$92160
Scotty Hopson\hopsosc01,28,$74159,,,,,,,
Kyle Collinsworth\colliky01,26,$50000,,,,,,,$50000
Gian Clavell\clavegi01,24,$50000,,,,,,,$50000
Antonius Cleveland\clevean01,24,$50000,,,,,,,$50000
Jameel Warney\warneja01,24,$46080,,,,,,,
Paul Millsap\millspa01,33,$31269231,$29730769,$30500000,,,,Cap space,$61000000
Mason Plumlee\plumlma01,28,$14041096,$12917808,$14041096,,,,Cap space,$41000000
Kenneth Faried\farieke01,28,$12921348,$13764045,,,,,1st Round Pick,$26685393
Wilson Chandler\chandwi01,30,$12016854,$12800562,,,,,,$12016854
Darrell Arthur\arthuda01,30,$7464912,$7464912,,,,,Cap Space,$7464912
Devin Harris\harride01,35,$4402546,,,,,,Cap Space,$4402546
Will Barton\bartowi01,27,$3533333,,,,,,Bird Rights,$3533333
Jamal Murray\murraja01,21,$3355320,$3499800,$4444746,,,,1st Round pick,$6855120
Gary Harris\harriga01,23,$2550055,$16517857,$17839286,$19160714,$20482143,,1st Round Pick,$76550055
Trey Lyles\lylestr01,22,$2441400,$3364249,,,,,1st round pick,$5805649
Richard Jefferson\jefferi01,37,$2328652,,,,,,Minimum Salary,$2328652
Juan Hernangomez\hernaju01,22,$2076840,$2166360,$3321030,,,,1st Round pick,$4243200
Malik Beasley\beaslma01,21,$1700640,$1773840,$2731714,,,,1st Round pick,$3474480
Tyler Lydon\lydonty01,21,$1579440,$1874640,$2190720,,,,1st Round Pick,$3454080
Nikola Jokic\jokicni01,23,$1471382,$1600520,,,,,,$1471382
Monte Morris\morrimo01,22,TBD,,,,,,Two-Way Contract,$50000
Torrey Craig\craigto01,27,TBD,,,,,,Two-Way Contract,$50000
Jameer Nelson\nelsoja01,36,$4736050,,,,,,,$4736050
Blake Griffin\griffbl01,29,$29512900,$31873932,$34234964,$36595996,$38957028,,Bird Rights,$132217792
Andre Drummond\drumman01,24,$23775506,$25434263,$27093019,$28751775,,,Cap Space,$76302788
Reggie Jackson\jacksre01,27,$16000000,$17043478,$18086956,,,,Bird Rights,$51130434
Jon Leuer\leuerjo01,28,$10497319,$10002681,$9508043,,,,Cap Space,$30008043
Langston Galloway\gallola01,26,$6666667,$7000000,$7333333,,,,MLE,$21000000
Ish Smith\smithis01,29,$6000000,$6000000,,,,,Cap Space,$12000000
Anthony Tolliver\tollian01,32,$3290000,,,,,,Bi-annual Exception,$3290000
Stanley Johnson\johnsst04,21,$3097800,$3940402,,,,,1st round pick,$7038202
James Ennis\ennisja01,27,$3028410,,,,,,Room exception,$3028410
Luke Kennard\kennalu01,21,$2759280,$3275280,$3827160,$5273826,,,1st Round Pick,$6034560
Reggie Bullock\bullore01,27,$2500000,$2500000,,,,,Cap space,$2500000
Jameer Nelson\nelsoja01,36,$2262871,,,,,,,$2262871
Henry Ellenson\ellenhe01,21,$1780800,$1857480,$2856804,,,,1st Round pick,$3638280
Eric Moreland\moreler01,26,$1739333,$1826300,$1913267,,,,MLE,$1739333
Dwight Buycks\buyckdw01,29,$748160,$1600520,,,,,Two-Way Converted,$748160
Reggie Hearn\hearnre01,26,TBD,,,,,,Two-Way Contract,TBD
Kay Felder\feldeka01,23,TBD,,,,,,Two-Way Contract,TBD
Josh Smith\smithjo03,32,$5400000,$5400000,$5400000,,,,,$16200000
Michael Gbinije\gbinimi01,25,$500000,,,,,,,$500000
Aaron Gray\grayaa01,33,$452059,,,,,,,$452059
Luis Montero\montelu01,24,$50000,,,,,,,$50000
Beno Udrih\udrihbe01,35,$25000,,,,,,,$25000
Stephen Curry\curryst01,30,$34682550,$37457154,$40231758,$43006362,$45780966,,Bird Rights,$201158790
Kevin Durant\duranke01,29,$25000000,$26250000,,,,,Non-Bird Rights,$25000000
Klay Thompson\thompkl01,28,$17826150,$18988725,,,,,1st Round Pick,$36814875
Draymond Green\greendr01,28,$16400000,$17469565,$18539130,,,,Bird Rights,$52408695
Andre Iguodala\iguodan01,34,$14814815,$16000000,$17185185,,,,Bird Rights,$48000000
Shaun Livingston\livinsh01,32,$7692308,$8307692,$7692308,,,,Bird Rights,$18000000
Nick Young\youngni01,32,$5192000,,,,,,MLE,$5192000
Zaza Pachulia\pachuza01,34,$3477600,,,,,,,$3477600
David West\westda01,37,$2328652,,,,,,Minimum Salary,$2328652
JaVale McGee\mcgeeja01,30,$2116955,,,,,,,$2116955
Omri Casspi\casspom01,29,$2106470,,,,,,Minimum Salary,$2106470
Kevon Looney\looneke01,22,$1471382,,,,,,1st Round pick,$1471382
Patrick McCaw\mccawpa01,22,$1312611,,,,,,Minimum Salary,$1312611
Damian Jones\jonesda03,22,$1312611,$1544951,$2305057,,,,1st Round pick,$2857562
Jordan Bell\belljo01,23,$815615,$1378252,,,,,Minimum Salary,$2193867
Quinn Cook\cookqu01,25,TBD,,,,,,Two-Way Contract,$50000
Chris Boucher\bouchch01,25,TBD,,,,,,Two-Way Contract,$50000
Jason Thompson\thompja02,31,$945126,$945126,,,,,,$1890252
James Harden\hardeja01,28,$28299399,$30431854,$37800000,$40824000,$43848000,$46872000,Bird Rights,$181203253
Chris Paul\paulch01,32,$24599495,,,,,,Bird Rights,$24599495
Ryan Anderson\anderry01,29,$19578455,$20421546,$21264635,,,,Cap Space,$61264636
Eric Gordon\gordoer01,29,$12943020,$13500375,$14057730,,,,Cap Space,$40501125
P.J. Tucker\tuckepj01,32,$7590035,$7969537,$8349039,$7969537,,,MLE,$26477799
Trevor Ariza\arizatr01,32,$7420912,,,,,,Bird Rights,$7420912
Nene Hilario\hilarne01,35,$3477600,$3651480,$3825360,,,,Non-Bird Rights,$10954440
Tarik Black\blackta01,26,$3290000,,,,,,Bi-annual Exception,$3290000
Clint Capela\capelca01,23,$2334520,,,,,,1st Round Pick,$2334520
Luc Mbah a Moute\mbahalu01,31,$2116955,,,,,,Minimum Salary,$2116955
Chinanu Onuaku\onuakch01,21,$1312611,$1544951,,,,,Minimum Salary,$2857562
Gerald Green\greenge01,32,$947248,,,,,,Minimum Salary,$947248
Zhou Qi\qizh01,22,$815615,$1378242,$1618520,$1752950,,,MLE,$815615
Joe Johnson\johnsjo02,36,$749905,,,,,,Minimum Salary,
R.J. Hunter\hunterj01,24,TBD,,,,,,Two-Way Contract,TBD
Markel Brown\brownma02,26,TBD,,,,,,Two-Way Contract,TBD
Bobby Brown\brownbo02,33,$1524305,,,,,,,
Troy Williams\willitr02,23,$1471382,$1544951,$1676735,,,,,$2085087
Cameron Oliver\oliveca01,21,$300000,,,,,,,$300000
Demetrius Jackson\jacksde01,23,$74159,,,,,,,$74159
Isaiah Canaan\canaais01,26,$53465,,,,,,,$53465
Demetrius Jackson\jacksde01,23,$50000,,,,,,,$50000
Briante Weber\weberbr01,25,$50000,,,,,,,$50000
Chris Johnson\johnsch04,27,$25000,,,,,,,$25000
Bobby Brown\brownbo02,33,,,,,,,,
Brandan Wright\wrighbr03,30,,,,,,,,
Victor Oladipo\oladivi01,25,$21000000,$21000000,$21000000,$21000000,,,1st Round Pick,$84000000
Thaddeus Young\youngth01,29,$14796348,$13764045,,,,,Bird Rights,$14796348
Bojan Bogdanovic\bogdabo02,28,$10500000,$10500000,,,,,Cap space,$12000000
Darren Collison\collida01,30,$10000000,$10000000,,,,,Cap space,$12000000
Al Jefferson\jeffeal01,33,$9769821,$10000000,,,,,Cap Space,$13769821
Cory Joseph\josepco01,26,$7630000,$7945000,,,,,Cap Space,$7630000
Lance Stephenson\stephla01,27,$4180000,$4360000,,,,,Cap space,$4180000
Myles Turner\turnemy01,22,$2569920,$3410284,,,,,1st round pick,$5980204
Domantas Sabonis\sabondo01,21,$2550000,$2659800,$3529555,,,,1st Round pick,$5209800
T.J. Leaf\leaftj01,20,$2028360,$2407560,$2813280,$4326825,,,1st Round Pick,$4435920
Glenn Robinson\robingl02,24,$1524305,,,,,,Minimum Salary,
Joe Young\youngjo01,25,$1471382,$1600520,,,,,Cap Space,$1471382
Ike Anigbogu\anigbik01,19,$950000,$1378242,$1618520,,,,Cap space,$1640000
Alex Poythress\poythal01,24,$778668,$1544951,,,,,Two-Way Converted,$778668
Edmond Sumner\sumneed01,22,TBD,,,,,,Two-Way Contract,$50000
Trevor Booker\booketr01,30,,,,,,,,
Ben Moore\moorebe01,22,TBD,,,,,,Two-Way Contract,TBD
Monta Ellis\ellismo01,32,$2245400,$2245400,$2245400,$2245400,$2245400,,,$11227000
Damien Wilkins\wilkida02,38,$2116955,,,,,,,$25000
Rakeem Christmas\chrisra01,26,$172552,,,,,,,$172552
Georges Niang\niangge01,24,$100000,,,,,,,$100000
Trey McKinney-Jones\mckintr01,27,$46080,,,,,,,
DeAndre Jordan\jordade01,29,$22642350,$24119025,,,,,Bird Rights,$22642350
Danilo Gallinari\gallida01,29,$20559599,$21587579,$22615559,,,,Sign and Trade,$64762737
Tobias Harris\harrito02,25,$16000000,$14800000,,,,,Bird Rights,$30800000
Austin Rivers\riverau01,25,$11825000,$12650000,,,,,Cap Space,$11825000
Avery Bradley\bradlav01,27,$8808989,,,,,,Bird Rights,$8808989
Boban Marjanovic\marjabo01,29,$7000000,$7000000,,,,,Cap Space,$14000000
Lou Williams\willilo02,31,$7000000,$8000000,$8000000,$1500000,,,Cap Space,$23000000
Milos Teodosic\teodomi01,31,$6000000,$6300000,,,,,MLE,$6000000
Wesley Johnson\johnswe01,30,$5881260,$6134000,,,,,Cap Space,$5881260
Patrick Beverley\beverpa01,29,$5513514,$5027028,,,,,Bird Rights,$5513514
Sam Dekker\dekkesa01,23,$1794600,$2760095,,,,,1st Round pick,$4554695
Montrezl Harrell\harremo01,24,$1471382,,,,,,,$1471382
Jawun Evans\evansja01,21,$815615,$1378242,$1618520,,,,MLE,$2193857
Sindarius Thornwell\thornsi01,23,$815615,$1378242,$1618520,,,,MLE,$2193857
Tyrone Wallace\wallaty01,23,TBD,,,,,,Two-Way Contract,TBD
C.J. Williams\willicj01,28,TBD,,,,,,Two-Way Contract,$50000
Paul Pierce\piercpa01,40,$1096080,,,,,,,$1096080
Carlos Delfino\delfica01,35,$650000,$650000,,,,,,$1300000
Jordan Farmar\farmajo01,31,$510921,,,,,,,$510921
