,,Salary,Salary,Salary,Salary,Salary,Salary,,
Rodney McGruder\mcgruro01,26,$1312611,$1544951,,,,,Minimum Salary,$1312611
Derrick Walton\waltode01,22,TBD,,,,,,Two-Way Contract,$50000
Derrick Jones\jonesde02,21,TBD,,,,,,Two-Way Contract,TBD
Chris Bosh\boshch01,34,$25289390,$26837720,,,,,,$52127110
A.J. Hammons\hammoaj01,25,$1312611,$1544951,,,,,,$2857562
Matt Williams\willima05,24,$50000,,,,,,,$50000
Giannis Antetokounmpo\antetgi01,23,$22471910,$24157303,$25842697,$27528090,,,1st Round Pick,$100000000
Eric Bledsoe\bledser01,28,$14500000,$15000000,,,,,Bird Rights,$29500000
Khris Middleton\middlkh01,26,$14100000,$13000000,$13000000,,,,Bird Rights,$27100000
John Henson\hensojo01,27,$11422536,$10577466,$9732396,,,,1st Round Pick,$31732398
Tony Snell\snellto01,26,$9821429,$10607143,$11392857,$12178571,,,Cap space,$31821429
Matthew Dellavedova\dellama01,27,$9607500,$9607500,$9607500,,,,Cap Space,$28822500
Jabari Parker\parkeja01,23,$6782392,,,,,,1st Round Pick,$6782392
Thon Maker\makerth01,21,$2684160,$2799720,$3569643,,,,1st Round pick,$5483880
Jason Terry\terryja01,40,$2328652,,,,,,Minimum Salary,$2328652
D.J. Wilson\wilsodj01,22,$2135040,$2534280,$2961120,$4548280,,,1st Round Pick,$4669320
Tyler Zeller\zellety01,28,$1709538,$1933941,,,,,,$1709538
Malcolm Brogdon\brogdma01,25,$1312611,$1544951,,,,,Cap Space,$1312611
Sterling Brown\brownst02,23,$815615,$1378242,$1618520,,,,MLE,$2193857
Brandon Jennings\jennibr01,28,$238020,,,,,,10-Day Contract,
Shabazz Muhammad\muhamsh01,25,,,,,,,,
Xavier Munford\munfoxa02,25,TBD,,,,,,Two-Way Contract,TBD
Marshall Plumlee\plumlma02,25,TBD,,,,,,Two-Way Contract,TBD
Mirza Teletovic\teletmi01,32,$10500000,$10500000,,,,,,$21000000
Spencer Hawes\hawessp01,29,$6021175,,,,,,,$6021175
Larry Sanders\sandela01,29,$1865547,$1865547,$1865547,$1865547,$1865547,,,$9327735
DeAndre Liggins\liggide01,30,$1577230,,,,,,,
Sean Kilpatrick\kilpase01,28,$789725,,,,,,,$789725
Gary Payton\paytoga02,25,$50000,,,,,,,$50000
Jalen Moore\mooreja02,22,$50000,,,,,,,$50000
Joel Bolomboy\bolomjo01,24,$22248,,,,,,,$22248
Jimmy Butler\butleji01,28,$19301070,$20445779,$19841627,,,,Bird Rights,$39746849
Jeff Teague\teaguje01,29,$19000000,$19000000,$19000000,,,,Cap space,$38000000
Gorgui Dieng\dienggo01,28,$14112360,$15170787,$16229213,$17287640,,,1st Round Pick,$62800000
Taj Gibson\gibsota01,32,$14000000,$14000000,,,,,Cap space,$28000000
Andrew Wiggins\wiggian01,23,$7574322,$25250000,$27270000,$29290000,$31310000,$33330000,1st Round Pick,$154024322
Cole Aldrich\aldrico01,29,$7300000,$6956021,,,,,Cap Space,$9356021
Karl-Anthony Towns\townska01,22,$6216840,$7839435,,,,,1st round pick,$6216840
Jamal Crawford\crawfja01,38,$4328000,$4544400,,,,,Room Exception,$4328000
Nemanja Bjelica\bjeline01,29,$3949999,,,,,,MLE,$3949999
Justin Patton\pattoju01,20,$2247480,$2667600,$3117240,$4781846,,,1st Round Pick,$4915080
Aaron Brooks\brookaa01,33,$2116955,,,,,,,$2116955
Tyus Jones\jonesty01,21,$1471382,$2444053,,,,,1st Round pick,$3915435
Marcus Georges-Hunt\georgma01,24,$1312611,,,,,,Minimum Salary,$1312611
Derrick Rose\rosede01,29,,,,,,,,
Anthony Brown\brownan02,25,TBD,,,,,,Two-Way Contract,$50000
Amile Jefferson\jeffeam01,24,TBD,,,,,,Two-Way Contract,TBD
Nikola Pekovic\pekovni01,32,$11600000,,,,,,,$11600000
Shabazz Muhammad\muhamsh01,25,$1577230,$1795015,,,,,,$1577230
Kevin Martin\martike02,35,$1360305,$1360305,,,,,,$2720610
Jrue Holiday\holidjr01,27,$25686667,$26131111,$26131111,$26131111,$27020000,,Bird Rights,$104080000
Anthony Davis\davisan02,25,$23775506,$25434263,$27093019,$28751775,,,1st Round Pick,$76302788
DeMarcus Cousins\couside01,27,$18063850,,,,,,1st Round Pick,$18063850
Nikola Mirotic\mirotni01,27,$12500000,$12500000,,,,,Cap space,$25000000
Solomon Hill\hillso01,27,$12236535,$12752928,$13258781,,,,Cap Space,$38248244
E'Twaun Moore\mooreet01,29,$8445024,$8808685,$8664928,,,,Cap Space,$25918637
Alexis Ajinca\ajincal01,29,$4961798,$5285394,,,,,Early Bird Rights,$10247192
Rajon Rondo\rondora01,32,$3300000,,,,,,MLE,$3300000
Darius Miller\milleda01,28,$2100000,$2205000,,,,,MLE,$2100000
Ian Clark\clarkia01,27,$1577230,,,,,,Minimum Salary,$1577230
Cheick Diallo\diallch01,21,$1312611,$1544951,,,,,Minimum Salary,$1812611
Frank Jackson\jacksfr01,19,$815615,$1378242,$1618520,,,,MLE,$2699857
Charles Cooke\cookech01,23,TBD,,,,,,Two-Way Contract,TBD
Emeka Okafor\okafoem01,35,,,,,,,,
DeAndre Liggins\liggide01,30,,,,,,,,
Josh Smith\smithjo03,32,$2183934,,,,,,,
Rashad Vaughn\vaughra01,21,$1889040,,,,,,,$1889040
Jordan Crawford\crawfjo02,29,$250000,,,,,,,$250000
Emeka Okafor\okafoem01,35,$239204,,,,,,,$239204
DeAndre Liggins\liggide01,30,$172238,,,,,,,$172238
Larry Drew\drewla02,28,$148318,,,,,,,
Walt Lemon Jr.\lemonwa01,25,$92160,,,,,,,
Quinn Cook\cookqu01,25,$25000,,,,,,,$25000
Axel Toupane\toupaax01,25,$25000,,,,,,,$25000
Mike James\jamesmi02,27,,,,,,,,
Enes Kanter\kanteen01,25,$20566802,$18622514,,,,,Bird Rights,$20566802
Joakim Noah\noahjo01,33,$17765000,$18530000,$19295000,,,,Cap Space,$55590000
Tim Hardaway\hardati02,26,$16500000,$17325000,$18150000,$18975000,,,Cap space,$51975000
Courtney Lee\leeco01,32,$11747890,$12253780,$12759670,,,,Cap Space,$36761340
Lance Thomas\thomala01,29,$6655325,$7119650,$7583975,,,,Cap Space,$13774975
Kristaps Porzingis\porzikr01,22,$4503600,$5697054,,,,,1st round pick,$10200654
Ron Baker\bakerro01,25,$4328000,$4544400,,,,,Room Exception,$4328000
Kyle O'Quinn\oquinky01,28,$4087500,$4256250,,,,,Bird Rights,$4087500
Frank Ntilikina\ntilila01,19,$3501120,$4155720,$4855800,$6176578,,,1st Round Pick,$7656840
Emmanuel Mudiay\mudiaem01,22,$3381480,$4294480,,,,,1st round pick,$7675960
Jarrett Jack\jackja01,34,$2328652,,,,,,Minimum Salary,$2328652
Michael Beasley\beaslmi01,29,$2116955,,,,,,Minimum Salary,$2116955
Damyean Dotson\dotsoda01,23,$1100000,$1378242,$1618520,,,,Minimum Salary,$2478242
Trey Burke\burketr01,25,$784160,$1795015,,,,,Minimum Salary,$784160
Isaiah Hicks\hicksis01,23,TBD,,,,,,Two-Way Contract,$49153
Troy Williams\willitr02,23,,,,,,,,
Luke Kornet\kornelu01,22,TBD,,,,,,Two-Way Contract,$50000
Mindaugas Kuzminskas\kuzmimi01,28,$3025035,,,,,,,$3025035
Ramon Sessions\sessira01,31,$2328652,,,,,,,$2328652
Johnny O'Bryant\obryajo01,24,$1524305,,,,,,,$1524305
Chasson Randle\randlch01,25,$1312611,,,,,,,
Troy Williams\willitr02,23,$148318,,,,,,,
Marshall Plumlee\plumlma02,25,$100000,,,,,,,$100000
Nigel Hayes\hayesni01,23,$50000,,,,,,,$50000
Russell Westbrook\westbru01,29,$28530608,$35350000,$38178000,$41006000,$43848000,$46662000,Bird Rights,$186912608
Carmelo Anthony\anthoca01,33,$26243760,$27928140,,,,,Bird Rights,$26243760
Steven Adams\adamsst01,24,$22471910,$24157303,$25842697,$27528090,,,1st Round Pick,$100000000
Paul George\georgpa01,27,$19508958,$20703384,,,,,1st Round Pick,$19508958
Andre Roberson\roberan03,26,$9259259,$10000000,$10740741,,,,Bird Rights,$30000000
Alex Abrines\abrinal01,24,$5725000,$5455236,,,,,Cap Space,$11180236
Patrick Patterson\pattepa01,29,$5192000,$5451600,$5711200,,,,MLE,$10643600
Kyle Singler\singlky01,29,$4666500,$4996000,$5333500,,,,Bird Rights,$9662500
Nick Collison\collini01,37,$2328652,,,,,,Minimum Salary,$2328652
Raymond Felton\feltora01,33,$2328652,,,,,,Minimum Salary,$2328652
Terrance Ferguson\fergute01,19,$1785000,$2118840,$2475840,$3944013,,,1st Round Pick,$3903840
Jerami Grant\grantje01,24,$1524305,,,,,,Draft Pick,$1524305
Josh Huestis\huestjo01,26,$1471382,,,,,,,$1471382
Dakari Johnson\johnsda04,22,$815615,$1378242,,,,,,$2193857
Daniel Hamilton\hamilda02,22,TBD,,,,,,Two-Way Contract,$50000
Corey Brewer\breweco01,32,,,,,,,,
PJ Dozier\doziepj01,21,TBD,,,,,,Two-Way Contract,$50000
Ronnie Price\pricero01,34,$2442455,,,,,,,$2442455
Evan Fournier\fournev01,25,$17000000,$17000000,$17000000,$17000000,,,Cap Space,$51000000
Bismack Biyombo\biyombi01,25,$17000000,$17000000,$17000000,,,,Cap Space,$34000000
Nikola Vucevic\vucevni01,27,$12250000,$12750000,,,,,Bird Rights,$25000000
Terrence Ross\rosste01,27,$10500000,$10500000,,,,,Rookie scale extension,$21000000
D.J. Augustin\augusdj01,30,$7250000,$7250000,$7250000,,,,Cap Space,$21750000
Jonathon Simmons\simmojo02,28,$6300000,$6000000,$5700000,,,,Cap space,$13300000
Shelvin Mack\macksh01,27,$6000000,$6000000,,,,,Cap space,$6000000
Aaron Gordon\gordoaa01,22,$5504420,,,,,,1st Round Pick,$5504420
Jonathan Isaac\isaacjo01,20,$4186320,$4969080,$5806440,$7362566,,,1st Round Pick,$9155400
Mario Hezonja\hezonma01,23,$4078320,,,,,,1st round pick,$4078320
Arron Afflalo\afflaar01,32,$2328652,,,,,,Minimum Salary,$2328652
Marreese Speights\speigma01,30,$2116955,,,,,,Minimum Salary,$2116955
Wesley Iwundu\iwundwe01,23,$1050000,$1378242,$1618520,,,,,$2428242
Khem Birch\birchkh01,25,$815615,$1378242,,,,,Minimum Salary,$815615
Rodney Purvis\purviro01,24,,,,,,,,
Jamel Artis\artisja01,25,TBD,,,,,,Two-Way Contract,$50000
C.J. Watson\watsocj01,33,$333334,$333333,$333333,,,,,$1000000
Rashad Vaughn\vaughra01,21,$166258,,,,,,,
Rodney Purvis\purviro01,24,$92160,,,,,,,
Adreian Payne\paynead01,27,,,,,,,,$50000
J.J. Redick\redicjj01,33,$23000000,,,,,,Cap space,$23000000
Robert Covington\covinro01,27,$16698103,$10464092,$11301219,$12138345,$12975471,,Cap Space,$63577230
Amir Johnson\johnsam01,30,$11000000,,,,,,Cap space,$11000000
Jerryd Bayless\bayleje01,29,$9000000,$8575916,,,,,Cap Space,$17575916
Markelle Fultz\fultzma01,19,$7026240,$8339880,$9745200,$12288697,,,1st Round Pick,$15366120
Ben Simmons\simmobe01,21,$6168840,$6434520,$8113930,,,,1st Round pick,$12603360
Joel Embiid\embiijo01,24,$6100266,$25250000,$27270000,$29290000,$31310000,$33330000,1st Round Pick,$6100266
Dario Saric\saricda01,23,$2422560,$2526840,$3481986,,,,1st Round pick,$4949400
Justin Anderson\anderju01,24,$1579440,$2516048,,,,,1st Round pick,$4095488
T.J. McConnell\mccontj01,26,$1471382,$1600520,,,,,Minimum Salary,$1471382
Richaun Holmes\holmeri01,24,$1471382,$1600520,,,,,Cap Space,$1471382
Furkan Korkmaz\korkmfu01,20,$1465920,$1740000,$2033160,$3665787,,,1st Round Pick,$3205920
Timothe Luwawu-Cabarrot\luwawti01,22,$1386600,$1544951,$2529684,,,,1st Round pick,$2931551
Marco Belinelli\belinma01,32,$776217,,,,,,Minimum Salary,
Ersan Ilyasova\ilyaser01,30,$502328,,,,,,Minimum Salary,
Demetrius Jackson\jacksde01,23,TBD,,,,,,Two-Way Contract,TBD
Trevor Booker\booketr01,30,$9125000,,,,,,,$9125000
Gerald Henderson\hendege02,30,$1000000,,,,,,,$1000000
Tibor Pleiss\pleisti01,28,$500000,,,,,,,$500000
Jacob Pullen\pulleja01,28,$50000,,,,,,,$50000
James Michael McAdoo\mcadoja01,25,$50000,,,,,,,$50000
James Young\youngja01,22,,,,,,,,
Brandon Knight\knighbr03,26,$13618750,$14631250,$15643750,,,,,$43893750
Tyson Chandler\chandty01,35,$13000000,$13585000,,,,,Cap Space,$26585000
Jared Dudley\dudleja01,32,$10000000,$9530000,,,,,Cap Space,$19530000
Alan Williams\willial03,25,$6000000,$5520000,$5520000,,,,Cap space,$6000000
Josh Jackson\jacksjo02,21,$5090040,$6041520,$7059480,$8930242,,,1st Round Pick,$11131560
Dragan Bender\bendedr01,20,$4468800,$4661280,$5896519,,,,1st Round pick,$9130080
Alex Len\lenal01,24,$4187599,,,,,,1st Round Pick,$4187599
Troy Daniels\danietr01,26,$3408520,$3258540,,,,,Cap Space,$6667060
Elfrid Payton\paytoel01,24,$3332340,,,,,,1st Round Pick,$3332340
T.J. Warren\warretj01,24,$3152931,$11750000,$10810000,$11750000,$12690000,,1st Round Pick,$50152931
Marquese Chriss\chrisma01,20,$3073800,$3206160,$4078236,,,,1st Rd pick,$6279960
Devin Booker\bookede01,21,$2319360,$3314365,,,,,1st round pick,$5633725
Tyler Ulis\ulisty01,22,$1312611,$1544951,$1676735,,,,Cap Space,$1312611
Davon Reed\reedda01,22,$815615,$1378242,$1618520,,,,Minimum Salary,$1504736
Alec Peters\peteral01,22,TBD,,,,,,Two-Way Contract,$50000
Shaquille Harrison\harrish01,24,,,,,,,,
Danuel House\houseda01,24,TBD,,,,,,Two-Way Contract,TBD
Greg Monroe\monrogr01,27,$17884176,,,,,,,$17884176
Derrick Jones\jonesde02,21,$1312611,,,,,,,
Isaiah Canaan\canaais01,26,$1069308,,,,,,,$1069308
Leandro Barbosa\barbole01,35,$500000,,,,,,,$500000
Josh Gray\grayjo01,24,$92160,,,,,,,$92160
Shaquille Harrison\harrish01,24,$92160,,,,,,,
Mike James\jamesmi02,27,$87552,,,,,,,$87552
Damian Lillard\lillada01,27,$26153057,$27977689,$29802321,$31626953,,,1st Round Pick,$115560020
C.J. McCollum\mccolcj01,26,$23962573,$25759766,$27556959,$29354152,,,1st Round Pick,$106633450
Evan Turner\turneev01,29,$17131148,$17868852,$18606557,,,,Cap Space,$53606557
Maurice Harkless\harklma01,24,$10162922,$10837079,$11511234,,,,Cap Space,$32511235
Meyers Leonard\leoname01,26,$9904495,$10595506,$11286515,,,,Cap Space,$31786516
Al-Farouq Aminu\aminual01,27,$7319035,$6957105,,,,,Cap Space,$14276140
Ed Davis\davised01,28,$6352531,,,,,,Cap Space,$6352531
Zach Collins\colliza01,20,$3057240,$3628920,$4240200,$5406255,,,1st Round Pick,$6686160
Jusuf Nurkic\nurkiju01,23,$2947305,,,,,,1st Round Pick,$2947305
Shabazz Napier\napiesh01,26,$2361360,,,,,,1st Round Pick,$2361360
Pat Connaughton\connapa01,25,$1471382,,,,,,Minimum Salary,$1471382
Caleb Swanigan\swanica01,20,$1465920,$1740000,$2033160,$3665787,,,1st Round Pick,$3205920
Jake Layman\laymaja01,24,$1312611,$1544951,,,,,Cap Space,$1312611
Wade Baldwin\baldwwa01,22,$222476,,,,,,Minimum Salary,
C.J. Wilcox\wilcocj01,27,TBD,,,,,,Two-Way Contract,$50000
Georgios Papagiannis\papagge01,20,,,,,,,,
Andrew Nicholson\nichoan01,28,$2844429,$2844429,$2844429,$2844429,$2844429,$2844429,,$19911003
Anderson Varejao\varejan01,35,$1913345,$1913345,$1913345,$1913345,,,,$7653380
Festus Ezeli\ezelife01,28,$333334,$333333,$333333,,,,,$1000000
Brandon Rush\rushbr01,32,$119602,,,,,,,
Georgios Papagiannis\papagge01,20,$74159,,,,,,,
Wade Baldwin\baldwwa01,22,,,,,,,,
Zach Randolph\randoza01,36,$12307692,$11692308,,,,,Cap space,$24000000
Iman Shumpert\shumpim01,27,$10337079,$11011234,,,,,Bird Rights,$10337079
Bogdan Bogdanovic\bogdabo01,25,$9470614,$9000000,$8529386,,,,Cap space,$27000000
Kosta Koufos\koufoko01,29,$8393000,$8739500,,,,,Cap Space,$8393000
Vince Carter\cartevi01,41,$8000000,,,,,,Cap space,$8000000
Garrett Temple\templga01,31,$8000000,$8000000,,,,,Cap Space,$8000000
De'Aaron Fox\foxde01,20,$4609200,$5407920,$6392760,$8099627,,,1st Round Pick,$10017120
Willie Cauley-Stein\caulewi01,24,$3704160,$4696875,,,,,1st round pick,$8401035
Buddy Hield\hieldbu01,24,$3675480,$3833760,$4861208,,,,1st Round pick,$7509240
Bruno Caboclo\cabocbr01,22,$2451225,,,,,,1st Round Pick,$2451225
Justin Jackson\jacksju01,23,$2365560,$2807880,$3280920,$5029650,,,1st Round Pick,$5173440
Harry Giles\gilesha01,19,$1859400,$2207040,$2578800,$3976510,,,1st Round Pick,$4066440
Skal Labissiere\labissk01,22,$1312611,$1544951,$2338847,,,,1st Round pick,$2857562
Frank Mason\masonfr01,23,$1184385,$1378242,$1618520,,,,,$2562627
Jack Cooley\cooleja01,26,TBD,,,,,,Two-Way Contract,$50000
JaKarr Sampson\sampsja02,25,TBD,,,,,,Two-Way Contract,$50000
Joe Johnson\johnsjo02,36,$9505000,,,,,,,$9505000
Georgios Papagiannis\papagge01,20,$2301360,$2400480,$3430288,,,,,$4701840
Matt Barnes\barnema02,38,$2133542,$2133542,$2133541,,,,,$6400625
Anthony Tolliver\tollian01,32,$2000000,,,,,,,$2000000
Arron Afflalo\afflaar01,32,$1500000,,,,,,,$1500000
Caron Butler\butleca01,38,$517220,$517220,,,,,,$1034440
LaMarcus Aldridge\aldrila01,32,$21461010,$22347015,$26000000,,,,Cap Space,$69808025
Kawhi Leonard\leonaka01,26,$18868625,$20099189,$21329752,,,,Bird Rights,$38967814
Pau Gasol\gasolpa01,37,$16000000,$16000000,$16000000,,,,,$38700000
Tony Parker\parketo01,35,$15453126,,,,,,Bird Rights,$15453126
Patty Mills\millspa02,29,$10714286,$11571429,$12428571,$13285714,,,Bird Rights,$48000000
Danny Green\greenda02,30,$10000000,$10000000,,,,,Bird Rights,$10000000
Rudy Gay\gayru01,31,$8406000,$8826300,,,,,MLE,$8406000
Manu Ginobili\ginobma01,40,$2500000,$2500000,,,,,,$5000000
Kyle Anderson\anderky01,24,$2151704,,,,,,1st Round Pick,$2151704
Joffrey Lauvergne\lauvejo01,26,$1524305,$1656092,,,,,,$1524305
Derrick White\whitede01,23,$1404600,$1667160,$1948080,$3516284,,,1st Round Pick,$3071760
Bryn Forbes\forbebr01,24,$1312611,,,,,,Minimum Salary,$1312611
Davis Bertans\bertada01,25,$1312611,,,,,,Minimum Salary,$1312611
Dejounte Murray\murrade01,21,$1312611,$1544951,$2321735,,,,1st Round pick,$2857562
Brandon Paul\paulbr01,26,$815615,$1378242,,,,,Minimum Salary,$815615
Matt Costello\costema01,24,TBD,,,,,,Two-Way Contract,$50000
Darrun Hilliard\hillida01,24,TBD,,,,,,Two-Way Contract,$50000
Tim Duncan\duncati01,41,$1881250,$1881250,,,,,,$3762500
Livio Jean-Charles\jeancli01,24,$1035200,,,,,,,$1035200
Kyle Lowry\lowryky01,32,$28703704,$31000000,$33296296,,,,Bird Rights,$93000000
DeMar DeRozan\derozde01,28,$27739975,$27739975,$27739975,$27739975,,,Cap Space,$83219925
Serge Ibaka\ibakase01,28,$20061729,$21666667,$23271604,,,,Cap space,$65000000
Jonas Valanciunas\valanjo01,25,$15460675,$16539326,$17617977,,,,1st Round Pick,$32000001
C.J. Miles\milescj01,30,$7936509,$8333333,$8730158,,,,MLE,$16269842
Lucas Nogueira\noguelu01,25,$2947305,,,,,,1st Round Pick,$2947305
Jakob Poeltl\poeltja01,22,$2825640,$2947320,$3754886,,,,1st Round pick,$5772960
Delon Wright\wrighde01,25,$1645200,$2536898,,,,,1st Round pick,$4182098
OG Anunoby\anunoog01,20,$1645200,$1952760,$2281800,$3872215,,,1st Round Pick,$3597960
Malachi Richardson\richama01,22,$1504560,$1569360,$2581597,,,,1st Round pick,$3073920
Norman Powell\powelno01,24,$1471382,$9367200,$10116576,$10865952,$11615328,,Cap Space,$31821110
Fred VanVleet\vanvlfr01,24,$1312611,,,,,,Minimum Salary,
Pascal Siakam\siakapa01,24,$1312611,$1544951,$2351839,,,,1st Round pick,$2857562
Alfonzo McKinnie\mckinal01,25,$815615,$1378242,,,,,Minimum Salary,$815615
Lorenzo Brown\brownlo01,27,TBD,,,,,,Two-Way Contract,$50000
Malcolm Miller\millema01,25,TBD,,,,,,Two-Way Contract,$50000
Justin Hamilton\hamilju01,27,$1000000,$1000000,$1000000,,,,,$3000000
K.J. McDaniels\mcdankj01,25,$100000,,,,,,,$100000
Nigel Hayes\hayesni01,23,$92160,,,,,,,
Rudy Gobert\goberru01,25,$21974719,$23491573,$25008427,$26525281,,,1st Round Pick,$97000000
Ricky Rubio\rubiori01,27,$14275000,$14975000,,,,,1st Round Pick,$29250000
Joe Ingles\inglejo01,30,$14136364,$13045455,$11954546,$10863637,,,Bird Rights,$50000002
Derrick Favors\favorde01,26,$12000000,,,,,,1st Round Pick,$12000000
Alec Burks\burksal01,26,$10845506,$11536515,,,,,1st Round Pick,$22382021
Jae Crowder\crowdja01,27,$6796117,$7305825,$7815533,,,,Bird Rights,$21917475
Thabo Sefolosha\sefolth01,33,$5250000,$5250000,,,,,Cap space,$5250000
Dante Exum\exumda01,22,$4992385,,,,,,1st Round Pick,$4992385
Jonas Jerebko\jerebjo01,31,$4000000,$4200000,,,,,Cap space,$4000000
Ekpe Udoh\udohek01,30,$3200000,$3360000,,,,,Room Exception,$3200000
Donovan Mitchell\mitchdo01,21,$2621280,$3111480,$3635760,$5195501,,,1st Round Pick,$5732760
Raul Neto\netora01,25,$1471382,,,,,,,$1471382
Tony Bradley\bradlto01,20,$1414920,$1679520,$1962360,$3542060,,,1st Round Pick,$3094440
Royce O'Neale\onealro01,24,$815615,$1378242,$1618520,,,,Cap space,$815615
David Stockton\stockda01,26,$148318,,,,,,10-Day Contract,
Georges Niang\niangge01,24,TBD,,,,,,Two-Way Contract,TBD
Erik McCree\mccreer01,24,TBD,,,,,,Two-Way Contract,TBD
Derrick Rose\rosede01,29,$2116955,,,,,,,$2116955
Joel Bolomboy\bolomjo01,24,$1312611,,,,,,,$1312611
Naz Mitrou-Long\mitrona01,24,$92160,,,,,,,
Nate Wolters\woltena01,26,$50000,,,,,,,$50000
Naz Mitrou-Long\mitrona01,24,$50000,,,,,,,$50000
Eric Griffin\griffer01,27,$50000,,,,,,,$50000
Otto Porter\porteot01,24,$24773250,$26011913,$27250576,$28489239,,,Bird Rights,$78035739
Bradley Beal\bealbr01,24,$23775506,$25434263,$27093019,$28751775,,,Cap Space,$105054563
John Wall\walljo01,27,$18063850,$19169800,$37800000,$40824000,$43848000,$46872000,Bird Rights,$159705650
Ian Mahinmi\mahinia01,31,$16661641,$15944154,$15450051,,,,Cap Space,$48055846
Marcin Gortat\gortama01,34,$12782609,$13565218,,,,,Bird Rights,$26347827
Markieff Morris\morrima02,28,$8000000,$8600000,,,,,Bird Rights,$16600000
Jason Smith\smithja02,32,$5225000,$5450000,,,,,Cap Space,$5225000
Jodie Meeks\meeksjo01,30,$3290000,$3454500,,,,,Bi-annual Exception,$3290000
Tomas Satoransky\satorto01,26,$3000000,$3129187,,,,,Cap Space,$6129187
Kelly Oubre\oubreke01,22,$2093040,$3208630,,,,,1st round pick,$5301670
Tim Frazier\fraziti01,27,$2000000,,,,,,Room exception,$2000000
Mike Scott\scottmi01,29,$1709538,,,,,,Minimum Salary,$1709538
Chris McCullough\mcculch01,23,$1471382,,,,,,1st Round pick,$1471382
Devin Robinson\robinde01,23,TBD,,,,,,Two-Way Contract,$50000
Ramon Sessions\sessira01,31,,,,,,,,
Martell Webster\webstma02,31,$830000,$830000,,,,,,$1660000


