Player,Age,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Isaiah Whitehead,23,1312611,1074145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deron Williams,33,5500000,259626,5500000,19754465,18466130,17177795,16359805,14940152,12323900,5069449,4010640,0,3487400,0,0,0,0,0,0
Sean Kilpatrick,28,1524305,980431,99418,35000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dwight Howard,32,23500000,23180275,22359364,21436271,20513178,19536360,18091770,16647180,15202590,13758000,6061274,4806720,4493160,4179720,0,0,0,0,0
Nicolas Batum,29,22434783,20869566,12235750,11765500,11295250,10850000,2155365,1196760,1118760,1040640,0,0,0,0,0,0,0,0,0
Marvin Williams,31,13168750,12250000,7000000,0,7500000,8287500,7500000,6712500,7500000,5636143,4466040,4174800,3883560,0,0,0,0,0,0
Michael Kidd-Gilchrist,24,13000000,13000000,6331404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cody Zeller,25,12584270,5318313,4204200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kemba Walker,27,12000000,12000000,12000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeremy Lamb,25,7000000,6511628,3034356,2202000,2111160,2020200,0,0,0,0,0,0,0,0,0,0,0,0,0
Malik Monk,20,2904480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frank Kaminsky,24,2847600,2730000,2612500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Carter-Williams,26,2700000,3183526,2399040,2300040,2200920,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Julyan Stone,29,1524305,50000,0,0,0,762195,473604,0,0,0,0,0,0,0,0,0,0,0,0
Willy Hernangomez,23,1435750,1375000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Treveon Graham,24,1312611,543471,75000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dwayne Bacon,22,815615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robin Lopez,29,13788500,13219250,13000000,6124728,5904261,4899293,2862602,0,1745520,1623720,0,0,0,0,0,0,0,0,0
Omer Asik,31,10595505,9904494,11000000,8374646,8374646,0,1857500,1721000,0,0,0,0,0,0,0,0,0,0,0
Cristiano Felicio,25,7843500,874636,525090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Justin Holiday,28,4615385,1015696,947300,816482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kris Dunn,24,4046760,3872520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lauri Markkanen,20,3821640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noah Vonleh,22,3505233,2751360,2637720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zach LaVine,23,3202217,2240880,2148360,2055840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameron Payne,23,2203440,2112480,2021520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denzel Valentine,24,2186400,2092200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jerian Grant,25,1713840,1643040,1572360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bobby Portis,23,1516320,1453680,1391160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paul Zipser,24,1312611,750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
David Nwaba,25,1312611,137466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dwyane Wade,36,15550000,23200000,20000000,15000000,18673000,17182000,15691000,0,15779912,0,13041250,0,3031920,2834160,2636400,0,0,0,0
Quincy Pondexter,30,3853931,3617978,3382023,3146068,2225479,1234320,1153800,1073280,0,0,0,0,0,0,0,0,0,0,0
Rajon Rondo,32,3000000,14000000,9500000,12909091,11954545,0,10045455,9090911,2094922,1315080,0,0,0,0,0,0,0,0,0
Tony Allen,36,2116955,5505618,5168539,4831461,4494382,3300000,3150000,3000000,2500000,2500000,0,0,969696,901920,0,0,0,0,0
Willie Reed,27,1577230,1015696,947276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kay Felder,23,1312611,543471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isaiah Canaan,26,200000,1015696,947276,816482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LeBron James,33,33285709,30963450,22971000,20644400,19067500,17545000,16022500,0,15779912,14410581,13041250,5828090,4621800,4320360,4018920,0,0,0,0
Kevin Love,29,22642350,21165675,19500000,15719062,14693906,13668750,4609701,3638280,3401040,3163680,0,0,0,0,0,0,0,0,0
George Hill,31,20000000,8000000,8000000,8000000,8000000,8000000,2086360,1157160,1081680,1006200,0,0,0,0,0,0,0,0,0
Tristan Thompson,27,16400000,15330435,14260870,5138430,4062000,4006080,3726600,0,0,0,0,0,0,0,0,0,0,0,0
J.R. Smith,32,13760000,12800000,5000000,6516000,5565000,2806452,2382353,6757851,5508426,4985001,2134067,0,1297080,1206600,0,0,0,0,0
Jordan Clarkson,25,11562500,12500000,845059,507336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyle Korver,37,7000000,5239437,5746479,6253521,6760563,5000000,5000000,5000000,5155115,4956818,4400000,4018182,3630363,620046,0,0,0,0,0
Cedi Osman,22,2642857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rodney Hood,25,2386864,1406520,1348440,1290360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jose Calderon,36,2328652,392478,7402812,7097191,6791570,0,9780992,9000000,8219009,7438018,2471604,2333334,2190000,0,0,0,0,0,0
Jeff Green,31,2116955,15000000,9200000,9445000,8965000,0,0,4455988,3516960,3287640,3058200,0,0,0,0,0,0,0,0
Ante Zizic,21,1645200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Larry Nance,25,1471382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harrison Barnes,25,23112004,22116750,3873398,3049920,2923920,2798040,0,0,0,0,0,0,0,0,0,0,0,0,0
Wesley Matthews,31,17884176,17100000,16400000,7245640,6875480,6505320,6135160,5765000,457588,0,0,0,0,0,0,0,0,0,0
Dwight Powell,26,9003125,8375000,845059,507336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dirk Nowitzki,39,5000000,25000000,8333334,7974482,22721381,20907128,19092873,17278618,19795714,18077904,16360094,0,13843156,12584688,0,10067750,2157595,1693560,0
Nerlens Noel,23,4187599,4384490,3457800,3315120,3172320,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J.J. Barea,33,3903900,4096950,4000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
