ATLANTA HAWKS,Salary,Salary,Salary,Salary,Salary,Salary,,,
Nicolas Batum\batumni01,29,"$22,434,783 ","$24,000,000 ","$25,565,217 ","$27,130,434 ",,,Cap Space,"$72,000,000 "
Marvin Williams\willima02,31,"$13,168,750 ","$14,087,500 ","$15,006,250 ",,,,Cap Space,"$27,256,250 "
Michael Kidd-Gilchrist\kiddgmi01,24,"$13,000,000 ","$13,000,000 ","$13,000,000 ",,,,1st Round Pick,"$26,000,000 "
Cody Zeller\zelleco01,25,"$12,584,270 ","$13,528,090 ","$14,471,910 ","$15,415,730 ",,,1st Round Pick,"$56,000,000 "
Kemba Walker\walkeke02,27,"$12,000,000 ","$12,000,000 ",,,,,1st Round Pick,"$24,000,000 "
Jeremy Lamb\lambje01,25,"$7,000,000 ","$7,488,372 ",,,,,Rookie scale extension,"$14,488,372 "
Malik Monk\monkma01,20,"$2,904,480 ","$3,447,480 ","$4,028,400 ","$5,345,687 ",,,1st Round Pick,"$6,351,960 "
Frank Kaminsky\kaminfr01,24,"$2,847,600 ","$3,627,842 ",,,,,1st round pick,"$6,475,442 "
Michael Carter-Williams\cartemi01,26,"$2,700,000 ",,,,,,Bi-annual Exception,"$2,700,000 "
Julyan Stone\stoneju01,29,"$1,524,305 ","$1,656,092 ",,,,,Minimum Salary,"$1,524,305 "
Willy Hernangomez\hernawi01,23,"$1,435,750 ","$1,544,951 ","$1,701,735 ",,,,Cap Space,"$2,980,701 "
Treveon Graham\grahatr01,24,"$1,312,611 ",,,,,,Minimum Salary,"$1,312,611 "
Dwayne Bacon\bacondw01,22,"$815,615 ","$1,378,242 ","$1,618,520 ",,,,MLE,"$2,193,857 "
Marcus Paige\paigema01,24,TBD,,,,,,Two-Way Contract,"$50,000 "
Mangok Mathiang\mathima01,25,TBD,,,,,,Two-Way Contract,"$50,000 "
Team Totals,,"$117,228,164 ","$119,578,294 ","$75,392,032 ","$47,891,851 ",,,,"$290,703,223 "
CHICAGO BULLS,Salary,Salary,Salary,Salary,Salary,Salary,,,
Player,Age,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,Signed Using,Guaranteed
Robin Lopez\lopezro01,29,"$13,788,500 ","$14,357,750 ",,,,,Cap Space,"$28,146,250 "
Omer Asik\asikom01,31,"$10,595,505 ","$11,286,516 ","$11,977,527 ",,,,Bird Rights,"$24,882,021 "
Cristiano Felicio\feliccr01,25,"$7,843,500 ","$8,470,980 ","$8,156,500 ","$7,529,020 ",,,Cap space,"$32,000,000 "
Justin Holiday\holidju01,28,"$4,615,385 ","$4,384,616 ",,,,,MLE,"$9,000,001 "
Kris Dunn\dunnkr01,24,"$4,046,760 ","$4,221,000 ","$5,348,007 ",,,,1st Round pick,"$8,267,760 "
Lauri Markkanen\markkla01,20,"$3,821,640 ","$4,536,120 ","$5,300,400 ","$6,731,508 ",,,1st Round Pick,"$8,357,760 "
Noah Vonleh\vonleno01,22,"$3,505,233 ",,,,,,1st Round Pick,"$3,505,233 "
Zach LaVine\lavinza01,23,"$3,202,217 ",,,,,,1st Round Pick,"$3,202,217 "
Cameron Payne\payneca01,23,"$2,203,440 ","$3,263,295 ",,,,,1st round pick,"$5,466,735 "
Denzel Valentine\valende01,24,"$2,186,400 ","$2,280,600 ","$3,377,569 ",,,,1st Round pick,"$4,467,000 "
Jerian Grant\grantje02,25,"$1,713,840 ","$2,639,314 ",,,,,1st Round pick,"$4,353,154 "
Bobby Portis\portibo01,23,"$1,516,320 ","$2,494,346 ",,,,,1st Round pick,"$4,010,666 "
Paul Zipser\zipsepa01,24,"$1,312,611 ","$1,544,951 ","$1,676,735 ",,,,Cap Space,"$1,312,611 "
David Nwaba\nwabada01,25,"$1,312,611 ",,,,,,Minimum Salary,"$1,312,611 "
Antonio Blakeney\blakean01,21,TBD,,,,,,Two-Way Contract,"$50,000 "
Sean Kilpatrick\kilpase01,28,,,,,,,Mid-Level Exception,
Ryan Arcidiacono\arcidry01,24,TBD,,,,,,Two-Way Contract,"$50,000 "
Dwyane Wade\wadedw01,36,"$15,550,000 ",,,,,,,"$15,550,000 "
Quincy Pondexter\pondequ01,30,"$3,853,931 ",,,,,,,"$3,853,931 "
Rajon Rondo\rondora01,32,"$3,000,000 ",,,,,,,"$3,000,000 "
Tony Allen\allento01,36,"$2,116,955 ",,,,,,,"$2,116,955 "
Willie Reed\reedwi02,27,"$1,577,230 ",,,,,,,"$1,577,230 "
Kay Felder\feldeka01,23,"$1,312,611 ","$1,544,951 ",,,,,,"$456,529 "
Isaiah Canaan\canaais01,26,"$200,000 ",,,,,,,"$200,000 "
Jarell Eddie\eddieja01,26,"$83,129 ",,,,,,,
Diamond Stone\stonedi01,21,"$50,000 ",,,,,,,"$50,000 "
Jarell Eddie\eddieja01,26,"$17,224 ",,,,,,,"$17,224 "
C.J. Fair\faircj02,26,,,,,,,,
Jaylen Johnson\johnsja04,21,,,,,,,,
Team Totals,,"$89,425,042 ","$61,024,439 ","$35,836,738 ","$14,260,528 ",,,,"$165,205,888 "
CLEVELAND,Salary,Salary,Salary,Salary,Salary,Salary,,,
Player,Age,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,Signed Using,Guaranteed
LeBron James\jamesle01,33,"$33,285,709 ","$35,607,968 ",,,,,Early Bird,"$33,285,709 "
Kevin Love\loveke01,29,"$22,642,350 ","$24,119,025 ","$25,595,700 ",,,,Bird Rights,"$46,761,375 "
George Hill\hillge01,31,"$20,000,000 ","$19,000,000 ","$18,000,000 ",,,,Cap space,"$40,000,000 "
Tristan Thompson\thomptr01,27,"$16,400,000 ","$17,469,565 ","$18,539,130 ",,,,Bird Rights,"$52,408,695 "
J.R. Smith\smithjr01,32,"$13,760,000 ","$14,720,000 ","$15,680,000 ",,,,Bird Rights,"$32,350,000 "
Jordan Clarkson\clarkjo01,25,"$11,562,500 ","$12,500,000 ","$13,437,500 ",,,,Cap Space,"$37,500,000 "
