Characteristic,2008_median_weekly_earnings,2008_workers_in_000's
"Total, 16 years and over",722,"106,648"
"Men, 16 years and over",798,"59,439"
"Men, 16 to 24 years",461,"5,996"
"Men, 25 years and over",857,"53,444"
"Women, 16 years and over",638,"47,209"
"Women, 16 to 24 years",420,"4,625"
"Women, 25 years and over",670,"42,584"
White,742,"86,022"
"W, Men",825,"49,082"
"W, Women",654,"36,940"
Black or African American,589,"12,821"
"B/AA, Men",620,"6,031"
"B/AA, Women",554,"6,790"
Asian,861,"5,266"
"A, Men",966,"2,919"
"A, Women",753,"2,347"
Hispanic or Latino ethnicity,529,"15,807"
"H/L, Men",559,"9,961"
"H/L, Women",501,"5,846"
